#"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
100	-502387.2252267082	93677.34859218932	-408709.8766345189	200.21138045368696	--
200	-496329.8229572198	105000.25087713444	-391329.57208008535	224.4111889589427	112
300	-491680.70736651914	113983.93572703216	-377696.771639487	243.61151830631775	110
400	-486145.60223237006	120034.04117182124	-366111.5610605488	256.54207175595485	109
500	-481506.91199866566	124813.03607827521	-356693.8759203905	266.7559514374519	108
600	-477675.338287133	128358.85250133116	-349316.4857858019	274.3342274194707	106
700	-475094.78672132455	131570.9452664475	-343523.84145487705	281.1992544117362	107
800	-471865.3282365801	133140.74059482102	-338724.5876417591	284.55429054850424	104
900	-469697.5357004127	135757.52247474415	-333940.0132256686	290.14699273744395	105
1000	-467255.49713108316	136935.1937873146	-330320.3033437686	292.663964051789	105
1100	-466083.5470620063	138136.44213562208	-327947.1049263842	295.23132525165965	105
1200	-465383.7337796693	139966.22817993126	-325417.505599738	299.14202506726673	105
1300	-464805.6156657727	141554.01430634005	-323251.6013594327	302.5355119348062	105
1400	-462968.63895153604	141223.1788051371	-321745.4601463989	301.82843564161095	105
1500	-461794.68768680724	141763.79845034357	-320030.8892364637	302.9838719033519	105
1600	-461699.9010893698	142550.57148332952	-319149.32960604026	304.66539809303515	105
1700	-461630.545018069	143490.85494491435	-318139.69007315463	306.67501357309334	105
1800	-459942.95570695866	143022.92423151183	-316920.0314754468	305.6749313174048	105
1900	-459365.55446469854	142778.54840033985	-316587.0060643587	305.1526404622115	105
2000	-460725.19675372937	144915.72748223465	-315809.4692714947	309.7203142989855	105
2100	-461091.70235962095	144881.89380407703	-316209.8085555439	309.6480034627848	105
2200	-460354.4215117835	144514.1356789556	-315840.2858328279	308.86201450163094	105
2300	-459725.67025127634	144555.81178534508	-315169.85846593126	308.95108652296346	105
2400	-460346.13010936347	145716.92075151525	-314629.2093578482	311.43266005666896	105
2500	-458926.59423625236	144718.38809066455	-314208.20614558784	309.2985518067939	105
2600	-460202.31374235894	145837.5403243088	-314364.77341805014	311.690453552553	105
2700	-459892.4147311845	145613.97179882042	-314278.44293236407	311.2126329930826	105
2800	-459966.3416356398	146030.1213626665	-313936.2202729733	312.10204628140633	105
2900	-459271.665457529	145173.57574343582	-314098.0897140932	310.2713990286292	105
3000	-460026.08758916124	146581.8957205724	-313444.19186858885	313.28132288941754	105
3100	-459503.4784135956	144937.19288979194	-314566.2855238037	309.76619111919473	104
3200	-459959.0354330642	145816.95274818482	-314142.0826848794	311.64645287258156	104
3300	-460293.0183178433	145698.46236239508	-314594.55595544825	311.39320996951085	104
3400	-460489.93680367945	145457.4445990184	-315032.492204661	310.87809612561273	104
3500	-460515.77966583986	145364.90676008922	-315150.87290575064	310.680320155705	104
3600	-461423.47525628074	145305.68661853496	-316117.7886377458	310.55375224500483	104
3700	-460614.274871025	144571.1803533474	-316043.0945176776	308.98393290751187	104
3800	-461158.34555831575	144996.3507531971	-316161.99480511865	309.89262592627495	104
3900	-461151.82475385093	144255.04195429356	-316896.7827995574	308.30826791228947	104
4000	-461519.07722148905	145157.67760378376	-316361.39961770526	310.2374208200844	104
4100	-461998.08015412115	144952.88628705734	-317045.19386706385	309.79973174323817	104
4200	-461541.40382282925	144916.86069517795	-316624.5431276513	309.7227362519029	104
4300	-463050.1036271686	145396.40220684482	-317653.70142032375	310.74763362014124	104
4400	-462221.9800242651	144621.70294358456	-317600.2770806806	309.0919120261301	104
4500	-462262.838493997	145044.69031186603	-317218.148182131	309.9959393730908	104
4600	-461522.3319613973	144709.56929462226	-316812.76266677503	309.2797038851127	103
4700	-461645.1251568212	143977.09351206516	-317668.0316447561	307.7142241850726	103
4800	-463488.18338495353	145440.07613063016	-318048.1072543234	310.8409754653396	103
4900	-462679.0241534952	144799.2730672845	-317879.7510862107	309.47142276301133	103
5000	-462257.4421123364	144335.55429163022	-317921.8878207062	308.48034244731826	103
