#"Step"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
100	-500284.86099677836	86469.66790055297	-413815.1930962254	189.9579093155414	--
200	-493850.3376592037	98885.17417136958	-394965.1634878341	217.23248630374835	95.3
300	-487282.3875397409	107763.34553245272	-379519.0420072882	236.7361910275372	101
400	-481576.27815572615	113836.37423707885	-367739.9039186473	250.0775147998316	103
500	-476904.2095582164	118821.2882692114	-358082.92128900497	261.02845136120067	101
600	-472292.6930901529	122523.8376408031	-349768.85544934985	269.16226932120503	95.9
700	-468583.94670151453	126117.81866003826	-342466.12804147624	277.057582638689	97.5
800	-465053.5591283117	128661.7938912934	-336391.7652370183	282.6462269345769	98.5
900	-462058.8084190369	129626.25565292334	-332432.55276611354	284.7649715105906	99.2
1000	-460996.15196280787	133154.63993019296	-327841.5120326149	292.51618088660905	99.8
1100	-459336.2473243035	134383.69019884447	-324952.557125459	295.2161776039002	99.8
1200	-457116.81593699707	134478.64497324615	-322638.1709637509	295.4247757269509	101
1300	-456441.5627365168	136049.91854966996	-320391.64418684685	298.87657392147486	101
1400	-455231.59593026503	136009.85835854235	-319221.7375717227	298.78856907147207	102
1500	-454770.5320564639	137615.9806104547	-317154.5514460092	302.31692337750826	102
1600	-453782.1295931698	137716.7287920739	-316065.4008010959	302.5382485475059	102
1700	-453556.13169655576	138741.4339234991	-314814.6977730567	304.7893366938638	102
1800	-453457.0569906398	139476.35861269757	-313980.6983779422	306.40383066445554	103
1900	-453100.7511727535	140670.75127816456	-312429.99989458895	309.02769102083926	103
2000	-451825.3654020515	139532.17317187844	-312293.19223017304	306.5264449548627	103
2100	-452484.8000999356	140312.12657022575	-312172.67352970986	308.23985869300725	103
2200	-451356.4470090256	140010.9261205855	-311345.5208884401	307.5781768676027	103
2300	-451127.55349943135	140676.58857641957	-310450.9649230118	309.0405144882989	103
2400	-451329.45431153267	141550.5929526775	-309778.86135885515	310.9605408753268	103
2500	-450657.03649750445	141608.3263141591	-309048.71018334536	311.087370420427	103
2600	-450364.0086288892	141568.77240524808	-308795.23622364114	311.00047777906013	103
2700	-449762.35181963956	141445.5922053606	-308316.75961427897	310.7298736029622	103
2800	-449778.3707818887	141732.96715908512	-308045.4036228036	311.3611833642295	104
2900	-451617.9403133376	142783.92209518404	-308834.01821815356	313.6699374891533	104
3000	-450336.502035283	141744.73816448904	-308591.763870794	311.3870420917042	104
3100	-449823.50157814333	141221.07580908696	-308602.42576905637	310.2366524968947	104
3200	-450229.13116322365	141229.25488768233	-308999.8762755413	310.2546204237738	104
3300	-451422.29905668297	141479.20912158903	-309943.08993509394	310.8037237666026	104
3400	-451163.9131146795	142051.78297459843	-309112.13014008105	312.0615628989501	104
3500	-450853.99906590837	142601.11441067766	-308252.8846552307	313.2683427288314	104
3600	-450865.6830019797	141915.76728312665	-308949.91571885307	311.7627615156049	104
3700	-450216.8788674907	141981.4843906193	-308235.39447687136	311.9071298779296	104
3800	-450803.03182171565	142304.92583256523	-308498.1059891504	312.6176710606333	104
3900	-451838.0368734994	142866.88388606987	-308971.1529874295	313.8521892397657	104
4000	-451039.9674178446	141680.55561985742	-309359.4117979872	311.2460448809043	104
4100	-452236.82865125895	141919.98629945656	-310316.8423518024	311.7720299161997	104
4200	-452036.84736110456	141460.92877236955	-310575.91858873505	310.7635652115439	104
4300	-452572.0698487761	141206.2258902666	-311365.8439585095	310.20402996461127	104
4400	-452885.30589129776	141253.1192835464	-311632.18660775136	310.3070460992215	104
4500	-452758.7226482963	141085.18952654733	-311673.53312174894	309.9381354011013	104
4600	-453483.4274251396	141783.0055211616	-311700.421903978	311.4711084151335	104
4700	-452784.08546397276	140034.63869236855	-312749.44677160424	307.6302690135513	104
4800	-454506.63936663466	141019.5261307184	-313487.11323591624	309.7938850333936	104
4900	-454597.93101161625	140881.56285349705	-313716.3681581192	309.4908051634277	104
5000	-454677.0077135286	141142.15803377947	-313534.8496797491	310.06328470250827	104
