group,ligand_id,system,mode,affinity_kcal_mol,rmsd_lb,rmsd_ub,min_distance_to_key_residues_A,n_contacted_key_residues_4A,contacted_key_residues_4A,n_near_key_residues_6A,near_key_residues_6A,n_contacted_chains_4A,n_near_chains_6A,composite_score,pose_file
candidate,1.1,20chol,1,-5.203,0.0,0.0,2.506,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,16.051,C:\TRKB_WP2\docking\results_batch\20chol\1.1_20chol_out.pdbqt
candidate,1.1,20chol,2,-5.184,2.4,4.649,2.605,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.802,C:\TRKB_WP2\docking\results_batch\20chol\1.1_20chol_out.pdbqt
candidate,1.1,20chol,3,-4.806,2.506,5.037,2.545,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,13.042,C:\TRKB_WP2\docking\results_batch\20chol\1.1_20chol_out.pdbqt
candidate,1.1,20chol,4,-4.752,3.102,5.11,2.46,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.614,C:\TRKB_WP2\docking\results_batch\20chol\1.1_20chol_out.pdbqt
candidate,1.1,20chol,5,-4.669,2.793,5.501,2.552,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.303,C:\TRKB_WP2\docking\results_batch\20chol\1.1_20chol_out.pdbqt
candidate,1.1,20chol,6,-4.439,12.439,14.145,2.644,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,2,2,15.446,C:\TRKB_WP2\docking\results_batch\20chol\1.1_20chol_out.pdbqt
candidate,1.1,20chol,7,-4.42,12.386,14.48,2.153,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.374,C:\TRKB_WP2\docking\results_batch\20chol\1.1_20chol_out.pdbqt
candidate,1.1,20chol,8,-4.402,2.402,4.106,2.634,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.012,C:\TRKB_WP2\docking\results_batch\20chol\1.1_20chol_out.pdbqt
candidate,1.1,20chol,9,-4.338,5.12,7.549,2.629,1,TYR13_chainA,1,TYR13_chainA,1,1,8.949,C:\TRKB_WP2\docking\results_batch\20chol\1.1_20chol_out.pdbqt
candidate,1.1,20chol,10,-4.307,12.997,14.323,2.454,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,2,2,15.371,C:\TRKB_WP2\docking\results_batch\20chol\1.1_20chol_out.pdbqt
candidate,1.2,20chol,1,-5.011,0.0,0.0,2.348,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,13.307,C:\TRKB_WP2\docking\results_batch\20chol\1.2_20chol_out.pdbqt
candidate,1.2,20chol,2,-4.979,2.728,4.186,2.564,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.61,C:\TRKB_WP2\docking\results_batch\20chol\1.2_20chol_out.pdbqt
candidate,1.2,20chol,3,-4.964,1.533,1.939,2.651,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,12.569,C:\TRKB_WP2\docking\results_batch\20chol\1.2_20chol_out.pdbqt
