group,ligand_id,system,mode,affinity_kcal_mol,rmsd_lb,rmsd_ub,min_distance_to_key_residues_A,n_contacted_key_residues_4A,contacted_key_residues_4A,n_near_key_residues_6A,near_key_residues_6A,n_contacted_chains_4A,n_near_chains_6A,composite_score,pose_file
candidate,1.1,20chol,1,-5.203,0.0,0.0,2.506,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,16.051,C:\TRKB_WP2\docking\results_batch\20chol\1.1_20chol_out.pdbqt
candidate,1.2,20chol,9,-4.731,13.29,15.302,2.202,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.67,C:\TRKB_WP2\docking\results_batch\20chol\1.2_20chol_out.pdbqt
candidate,10.1,20chol,9,-4.716,3.394,5.096,2.63,3,SER20_chainB;TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,14.927,C:\TRKB_WP2\docking\results_batch\20chol\10.1_20chol_out.pdbqt
candidate,10.2,20chol,7,-5.145,12.965,14.691,2.318,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.05,C:\TRKB_WP2\docking\results_batch\20chol\10.2_20chol_out.pdbqt
candidate,10.3,20chol,4,-5.021,13.037,14.98,2.657,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.824,C:\TRKB_WP2\docking\results_batch\20chol\10.3_20chol_out.pdbqt
candidate,10.4,20chol,2,-5.078,14.877,16.261,1.525,3,SER20_chainA;TYR13_chainB;VAL17_chainB,4,SER20_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.62,C:\TRKB_WP2\docking\results_batch\20chol\10.4_20chol_out.pdbqt
candidate,11.1,20chol,1,-5.421,0.0,0.0,2.439,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,16.289,C:\TRKB_WP2\docking\results_batch\20chol\11.1_20chol_out.pdbqt
candidate,11.2,20chol,4,-5.125,14.005,15.145,1.76,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.197,C:\TRKB_WP2\docking\results_batch\20chol\11.2_20chol_out.pdbqt
candidate,11.3,20chol,2,-5.1,2.398,6.247,2.433,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,15.97,C:\TRKB_WP2\docking\results_batch\20chol\11.3_20chol_out.pdbqt
candidate,11.4,20chol,1,-5.351,0.0,0.0,2.133,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.311,C:\TRKB_WP2\docking\results_batch\20chol\11.4_20chol_out.pdbqt
candidate,12.1,20chol,1,-5.119,0.0,0.0,2.334,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,16.019,C:\TRKB_WP2\docking\results_batch\20chol\12.1_20chol_out.pdbqt
candidate,12.2,20chol,1,-5.216,0.0,0.0,2.494,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,16.068,C:\TRKB_WP2\docking\results_batch\20chol\12.2_20chol_out.pdbqt
candidate,13.1,20chol,10,-4.939,13.331,15.758,2.177,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.686,C:\TRKB_WP2\docking\results_batch\20chol\13.1_20chol_out.pdbqt
candidate,13.2,20chol,6,-5.204,13.051,15.393,2.14,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.962,C:\TRKB_WP2\docking\results_batch\20chol\13.2_20chol_out.pdbqt
candidate,13.3,20chol,4,-4.918,13.313,15.21,2.583,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.743,C:\TRKB_WP2\docking\results_batch\20chol\13.3_20chol_out.pdbqt
candidate,13.4,20chol,1,-5.219,0.0,0.0,2.277,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,2,2,16.336,C:\TRKB_WP2\docking\results_batch\20chol\13.4_20chol_out.pdbqt
candidate,14.1,20chol,4,-5.363,12.839,14.294,2.156,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.316,C:\TRKB_WP2\docking\results_batch\20chol\14.1_20chol_out.pdbqt
candidate,14.2,20chol,2,-5.224,14.566,16.135,2.182,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.169,C:\TRKB_WP2\docking\results_batch\20chol\14.2_20chol_out.pdbqt
candidate,14.3,20chol,1,-5.283,0.0,0.0,2.287,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,16.197,C:\TRKB_WP2\docking\results_batch\20chol\14.3_20chol_out.pdbqt
candidate,14.4,20chol,9,-4.611,14.667,17.229,2.403,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,15.49,C:\TRKB_WP2\docking\results_batch\20chol\14.4_20chol_out.pdbqt
