label,system,receptor_pdb,ligand_pdbqt,ligand_pdb,group,ligand_id,mode,affinity_kcal_mol,composite_score
reference_CPZ_20chol_mode3,20chol,C:/TRKB_WP2/docking/receptors/20chol/TRKB_20chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/reference_CPZ_20chol_mode3.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/reference_CPZ_20chol_mode3.pdb,reference,CPZ,3,-4.735,15.529
reference_DPH_20chol_mode5,20chol,C:/TRKB_WP2/docking/receptors/20chol/TRKB_20chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/reference_DPH_20chol_mode5.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/reference_DPH_20chol_mode5.pdb,reference,DPH,5,-4.706,15.805
reference_FLX_R_20chol_mode5,20chol,C:/TRKB_WP2/docking/receptors/20chol/TRKB_20chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/reference_FLX_R_20chol_mode5.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/reference_FLX_R_20chol_mode5.pdb,reference,FLX_R,5,-5.32,16.35
reference_FLX_S_20chol_mode8,20chol,C:/TRKB_WP2/docking/receptors/20chol/TRKB_20chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/reference_FLX_S_20chol_mode8.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/reference_FLX_S_20chol_mode8.pdb,reference,FLX_S,8,-5.27,16.294
reference_HNK_RR_20chol_mode2,20chol,C:/TRKB_WP2/docking/receptors/20chol/TRKB_20chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/reference_HNK_RR_20chol_mode2.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/reference_HNK_RR_20chol_mode2.pdb,reference,HNK_RR,2,-4.866,15.128
reference_HNK_SS_20chol_mode8,20chol,C:/TRKB_WP2/docking/receptors/20chol/TRKB_20chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/reference_HNK_SS_20chol_mode8.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/reference_HNK_SS_20chol_mode8.pdb,reference,HNK_SS,8,-4.218,15.145
reference_IMI_20chol_mode4,20chol,C:/TRKB_WP2/docking/receptors/20chol/TRKB_20chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/reference_IMI_20chol_mode4.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/reference_IMI_20chol_mode4.pdb,reference,IMI,4,-4.736,15.819
reference_ISO_20chol_mode2,20chol,C:/TRKB_WP2/docking/receptors/20chol/TRKB_20chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/reference_ISO_20chol_mode2.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/reference_ISO_20chol_mode2.pdb,reference,ISO,2,-4.239,15.225
reference_KET_R_20chol_mode1,20chol,C:/TRKB_WP2/docking/receptors/20chol/TRKB_20chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/reference_KET_R_20chol_mode1.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/reference_KET_R_20chol_mode1.pdb,reference,KET_R,1,-4.615,14.143
reference_KET_S_20chol_mode8,20chol,C:/TRKB_WP2/docking/receptors/20chol/TRKB_20chol_protein.pdb,C:/TRKB_WP2/docking/best_pose_review_pdbqt/reference_KET_S_20chol_mode8.pdbqt,C:/TRKB_WP2/docking/best_pose_review_pdb/reference_KET_S_20chol_mode8.pdb,reference,KET_S,8,-4.358,15.409
