group,ref_role,ligand_id,system,mode,affinity,affinity_kcal_mol,mode1_affinity_kcal_mol,rmsd_lb,rmsd_ub,min_distance_A,min_distance_to_key_residues_A,contacts_4A,contacts_4A_detail,n_contacted_key_residues_4A,contacted_key_residues_4A,contacts_6A,contacts_6A_detail,n_near_key_residues_6A,near_key_residues_6A,chain_contacts,chain_near_6A,n_contacted_chains_4A,n_near_chains_6A,anchor_ref_panel,comparator_ref_panel,anchor_ref_median_affinity,comparator_ref_median_affinity,affinity_points_25,keyres_points_30,interface_points_20,mode_reliability_points_10,system_score,system_score_85,interface_flag,key_contact_flag,pose_file
reference,anchor_reference,FLX_R,20chol,5,-5.32,-5.32,-5.763,5.038,7.497,1.900,1.9,3,SER20_chainB;TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,25.00,26.50,20.00,7.00,78.50,78.50,1,1,C:\TRKB_WP2\docking\reference\results\20chol\FLX_R_20chol_out.pdbqt
reference,anchor_reference,FLX_S,20chol,8,-5.27,-5.27,-5.574,11.732,12.777,1.919,1.919,3,SER20_chainA;TYR13_chainB;VAL17_chainB,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,25.00,26.50,20.00,5.00,76.50,76.50,1,1,C:\TRKB_WP2\docking\reference\results\20chol\FLX_S_20chol_out.pdbqt
reference,reference_comparator,MOC,20chol,2,-4.893,-4.893,-4.959,14.281,16.984,2.125,2.125,3,SER20_chainA;TYR13_chainB;VAL17_chainB,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,14.10,26.50,20.00,9.00,69.60,69.60,1,1,C:\TRKB_WP2\docking\reference\results\20chol\MOC_20chol_out.pdbqt
reference,anchor_reference,HNK_RR,20chol,2,-4.866,-4.866,-5.553,17.065,18.42,2.460,2.46,3,SER20_chainA;TYR13_chainB;VAL17_chainB,3,SER20_chainA;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,13.06,24.50,20.00,7.00,64.56,64.56,1,1,C:\TRKB_WP2\docking\reference\results\20chol\HNK_RR_20chol_out.pdbqt
reference,reference_comparator,CPZ,20chol,3,-4.735,-4.735,-4.93,14.67,16.767,2.688,2.688,3,SER20_chainA;TYR13_chainB;VAL17_chainB,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,8.02,25.50,20.00,9.00,62.52,62.52,1,1,C:\TRKB_WP2\docking\reference\results\20chol\CPZ_20chol_out.pdbqt
reference,anchor_reference,IMI,20chol,4,-4.736,-4.736,-5.151,15.481,16.898,1.722,1.722,3,SER20_chainA;TYR13_chainB;VAL17_chainB,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,8.06,26.50,20.00,7.00,61.56,61.56,1,1,C:\TRKB_WP2\docking\reference\results\20chol\IMI_20chol_out.pdbqt
reference,reference_comparator,DPH,20chol,5,-4.706,-4.706,-5.095,12.377,14.099,1.669,1.669,3,SER20_chainA;TYR13_chainB;VAL17_chainB,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,6.91,26.50,20.00,7.00,60.41,60.41,1,1,C:\TRKB_WP2\docking\reference\results\20chol\DPH_20chol_out.pdbqt
reference,reference_comparator,ISO,20chol,2,-4.239,-4.239,-4.334,14.545,17.157,2.046,2.046,3,SER20_chainA;TYR13_chainB;VAL17_chainB,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,0.00,26.50,20.00,9.00,55.50,55.50,1,1,C:\TRKB_WP2\docking\reference\results\20chol\ISO_20chol_out.pdbqt
reference,reference_comparator,VEN,20chol,2,-4.438,-4.438,-4.681,1.898,3.812,1.770,1.77,3,SER20_chainB;TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,0.00,26.50,20.00,9.00,55.50,55.50,1,1,C:\TRKB_WP2\docking\reference\results\20chol\VEN_20chol_out.pdbqt
reference,reference_comparator,KET_R,20chol,1,-4.615,-4.615,-4.615,0.0,0.0,2.240,2.24,2,SER20_chainA;VAL17_chainB,2,SER20_chainA;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,3.40,21.00,20.00,10.00,54.40,54.40,1,1,C:\TRKB_WP2\docking\reference\results\20chol\KET_R_20chol_out.pdbqt
reference,reference_comparator,KET_S,20chol,8,-4.358,-4.358,-4.835,15.535,17.409,1.829,1.829,3,SER20_chainA;TYR13_chainB;VAL17_chainB,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,0.00,26.50,20.00,5.00,51.50,51.50,1,1,C:\TRKB_WP2\docking\reference\results\20chol\KET_S_20chol_out.pdbqt
reference,reference_comparator,HNK_SS,20chol,8,-4.218,-4.218,-4.814,13.3,14.234,2.245,2.245,3,SER20_chainA;TYR13_chainB;VAL17_chainB,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,0.00,26.50,20.00,4.00,50.50,50.50,1,1,C:\TRKB_WP2\docking\reference\results\20chol\HNK_SS_20chol_out.pdbqt
