group,ref_role,ligand_id,system,mode,affinity,affinity_kcal_mol,mode1_affinity_kcal_mol,rmsd_lb,rmsd_ub,min_distance_A,min_distance_to_key_residues_A,contacts_4A,contacts_4A_detail,n_contacted_key_residues_4A,contacted_key_residues_4A,contacts_6A,contacts_6A_detail,n_near_key_residues_6A,near_key_residues_6A,chain_contacts,chain_near_6A,n_contacted_chains_4A,n_near_chains_6A,anchor_ref_panel,comparator_ref_panel,anchor_ref_median_affinity,comparator_ref_median_affinity,affinity_points_25,keyres_points_30,interface_points_20,mode_reliability_points_10,system_score,system_score_85,interface_flag,key_contact_flag,pose_file
candidate,candidate,1.1,20chol,1,-5.203,-5.203,-5.203,0.0,0.0,2.506,2.506,3,SER20_chainB;TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,25.00,25.50,20.00,10.00,80.50,80.50,1,1,C:\TRKB_WP2\docking\results_batch\20chol\1.1_20chol_out.pdbqt
candidate,candidate,1.2,20chol,9,-4.731,-4.731,-5.011,13.29,15.302,2.202,2.202,3,SER20_chainA;TYR13_chainB;VAL17_chainB,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,7.87,26.50,20.00,5.00,59.37,59.37,1,1,C:\TRKB_WP2\docking\results_batch\20chol\1.2_20chol_out.pdbqt
candidate,candidate,10.1,20chol,9,-4.716,-4.716,-5.122,3.394,5.096,2.630,2.63,3,SER20_chainB;TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,7.29,23.50,20.00,5.00,55.79,55.79,1,1,C:\TRKB_WP2\docking\results_batch\20chol\10.1_20chol_out.pdbqt
candidate,candidate,10.2,20chol,7,-5.145,-5.145,-5.808,12.965,14.691,2.318,2.318,3,SER20_chainA;TYR13_chainB;VAL17_chainB,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,23.80,26.50,20.00,5.00,75.30,75.30,1,1,C:\TRKB_WP2\docking\results_batch\20chol\10.2_20chol_out.pdbqt
candidate,candidate,10.3,20chol,4,-5.021,-5.021,-5.317,13.037,14.98,2.657,2.657,3,SER20_chainA;TYR13_chainB;VAL17_chainB,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,19.03,25.50,20.00,7.00,71.53,71.53,1,1,C:\TRKB_WP2\docking\results_batch\20chol\10.3_20chol_out.pdbqt
candidate,candidate,10.4,20chol,2,-5.078,-5.078,-5.315,14.877,16.261,1.525,1.525,3,SER20_chainA;TYR13_chainB;VAL17_chainB,3,SER20_chainA;TYR13_chainB;VAL17_chainB,4,SER20_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,4,SER20_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,21.22,24.50,20.00,9.00,74.72,74.72,1,1,C:\TRKB_WP2\docking\results_batch\20chol\10.4_20chol_out.pdbqt
candidate,candidate,11.1,20chol,1,-5.421,-5.421,-5.421,0.0,0.0,2.439,2.439,3,SER20_chainB;TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,25.00,26.50,20.00,10.00,81.50,81.50,1,1,C:\TRKB_WP2\docking\results_batch\20chol\11.1_20chol_out.pdbqt
candidate,candidate,11.2,20chol,4,-5.125,-5.125,-5.608,14.005,15.145,1.760,1.76,3,SER20_chainA;TYR13_chainB;VAL17_chainB,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,23.03,26.50,20.00,7.00,76.53,76.53,1,1,C:\TRKB_WP2\docking\results_batch\20chol\11.2_20chol_out.pdbqt
candidate,candidate,11.3,20chol,2,-5.1,-5.1,-5.257,2.398,6.247,2.433,2.433,3,SER20_chainB;TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,22.06,26.50,20.00,9.00,77.56,77.56,1,1,C:\TRKB_WP2\docking\results_batch\20chol\11.3_20chol_out.pdbqt
candidate,candidate,11.4,20chol,1,-5.351,-5.351,-5.351,0.0,0.0,2.133,2.133,3,SER20_chainA;TYR13_chainB;VAL17_chainB,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,25.00,26.50,20.00,10.00,81.50,81.50,1,1,C:\TRKB_WP2\docking\results_batch\20chol\11.4_20chol_out.pdbqt
candidate,candidate,12.1,20chol,1,-5.119,-5.119,-5.119,0.0,0.0,2.334,2.334,3,SER20_chainB;TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,22.80,26.50,20.00,10.00,79.30,79.30,1,1,C:\TRKB_WP2\docking\results_batch\20chol\12.1_20chol_out.pdbqt
candidate,candidate,12.2,20chol,1,-5.216,-5.216,-5.216,0.0,0.0,2.494,2.494,3,SER20_chainB;TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,25.00,26.50,20.00,10.00,81.50,81.50,1,1,C:\TRKB_WP2\docking\results_batch\20chol\12.2_20chol_out.pdbqt
candidate,candidate,13.1,20chol,10,-4.939,-4.939,-5.552,13.331,15.758,2.177,2.177,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,15.87,30.00,20.00,4.00,69.87,69.87,1,1,C:\TRKB_WP2\docking\results_batch\20chol\13.1_20chol_out.pdbqt
candidate,candidate,13.2,20chol,6,-5.204,-5.204,-5.782,13.051,15.393,2.140,2.14,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,25.00,30.00,20.00,5.00,80.00,80.00,1,1,C:\TRKB_WP2\docking\results_batch\20chol\13.2_20chol_out.pdbqt
candidate,candidate,13.3,20chol,4,-4.918,-4.918,-5.13,13.313,15.21,2.583,2.583,3,SER20_chainA;TYR13_chainB;VAL17_chainB,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,15.06,25.50,20.00,8.00,68.56,68.56,1,1,C:\TRKB_WP2\docking\results_batch\20chol\13.3_20chol_out.pdbqt
candidate,candidate,13.4,20chol,1,-5.219,-5.219,-5.219,0.0,0.0,2.277,2.277,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,25.00,28.00,20.00,10.00,83.00,83.00,1,1,C:\TRKB_WP2\docking\results_batch\20chol\13.4_20chol_out.pdbqt
candidate,candidate,14.1,20chol,4,-5.363,-5.363,-5.772,12.839,14.294,2.156,2.156,3,SER20_chainA;TYR13_chainB;VAL17_chainB,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,25.00,26.50,20.00,7.00,78.50,78.50,1,1,C:\TRKB_WP2\docking\results_batch\20chol\14.1_20chol_out.pdbqt
candidate,candidate,14.2,20chol,2,-5.224,-5.224,-5.418,14.566,16.135,2.182,2.182,3,SER20_chainA;TYR13_chainB;VAL17_chainB,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,25.00,26.50,20.00,9.00,80.50,80.50,1,1,C:\TRKB_WP2\docking\results_batch\20chol\14.2_20chol_out.pdbqt
candidate,candidate,14.3,20chol,1,-5.283,-5.283,-5.283,0.0,0.0,2.287,2.287,3,SER20_chainA;TYR13_chainB;VAL17_chainB,3,SER20_chainA;TYR13_chainB;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,5,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,2,2,FLX_R;FLX_S;HNK_RR;IMI,CPZ;DPH;HNK_SS;ISO;KET_R;KET_S;MOC;VEN,-5.068,-4.527,25.00,26.50,20.00,10.00,81.50,81.50,1,1,C:\TRKB_WP2\docking\results_batch\20chol\14.3_20chol_out.pdbqt
