ligand_id,system,best_affinity_kcal_mol,min_distance_to_key_residues_A,n_contacted_key_residues_4A,contacted_key_residues_4A,n_near_key_residues_6A,near_key_residues_6A,n_contacted_chains_4A,n_near_chains_6A,pose_file
CPZ,20chol,-4.93,2.545,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,C:\TRKB_WP2\docking\reference\results\20chol\CPZ_20chol_out.pdbqt
DPH,20chol,-5.095,2.627,3,SER20_chainB;TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,C:\TRKB_WP2\docking\reference\results\20chol\DPH_20chol_out.pdbqt
FLX_R,20chol,-5.763,2.092,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\reference\results\20chol\FLX_R_20chol_out.pdbqt
FLX_S,20chol,-5.574,2.293,3,SER20_chainB;TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,2,2,C:\TRKB_WP2\docking\reference\results\20chol\FLX_S_20chol_out.pdbqt
HNK_RR,20chol,-5.553,2.054,1,TYR13_chainA,1,TYR13_chainA,1,1,C:\TRKB_WP2\docking\reference\results\20chol\HNK_RR_20chol_out.pdbqt
HNK_SS,20chol,-4.814,1.450,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\reference\results\20chol\HNK_SS_20chol_out.pdbqt
IMI,20chol,-5.151,2.866,1,TYR13_chainA,2,TYR13_chainA;VAL17_chainA,1,1,C:\TRKB_WP2\docking\reference\results\20chol\IMI_20chol_out.pdbqt
ISO,20chol,-4.334,2.594,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\reference\results\20chol\ISO_20chol_out.pdbqt
KET_R,20chol,-4.615,2.240,2,SER20_chainA;VAL17_chainB,4,SER20_chainA;SER20_chainB;TYR13_chainB;VAL17_chainB,2,2,C:\TRKB_WP2\docking\reference\results\20chol\KET_R_20chol_out.pdbqt
KET_S,20chol,-4.835,1.974,1,TYR13_chainA,2,TYR13_chainA;VAL17_chainA,1,1,C:\TRKB_WP2\docking\reference\results\20chol\KET_S_20chol_out.pdbqt
MOC,20chol,-4.959,2.439,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,C:\TRKB_WP2\docking\reference\results\20chol\MOC_20chol_out.pdbqt
VEN,20chol,-4.681,2.638,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainA;SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,C:\TRKB_WP2\docking\reference\results\20chol\VEN_20chol_out.pdbqt
CPZ,40chol,-5.214,2.759,3,SER20_chainB;TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,2,2,C:\TRKB_WP2\docking\reference\results\40chol\CPZ_40chol_out.pdbqt
DPH,40chol,-5.53,2.810,1,TYR13_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\reference\results\40chol\DPH_40chol_out.pdbqt
FLX_R,40chol,-5.783,2.949,2,TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,1,2,C:\TRKB_WP2\docking\reference\results\40chol\FLX_R_40chol_out.pdbqt
FLX_S,40chol,-6.196,2.538,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,C:\TRKB_WP2\docking\reference\results\40chol\FLX_S_40chol_out.pdbqt
HNK_RR,40chol,-5.091,2.594,1,TYR13_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,C:\TRKB_WP2\docking\reference\results\40chol\HNK_RR_40chol_out.pdbqt
HNK_SS,40chol,-5.403,3.073,2,TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,C:\TRKB_WP2\docking\reference\results\40chol\HNK_SS_40chol_out.pdbqt
IMI,40chol,-6.253,2.802,3,SER20_chainB;TYR13_chainA;VAL17_chainA,4,SER20_chainB;TYR13_chainA;VAL17_chainA;VAL17_chainB,2,2,C:\TRKB_WP2\docking\reference\results\40chol\IMI_40chol_out.pdbqt
ISO,40chol,-4.659,2.225,2,TYR13_chainA;VAL17_chainA,5,SER20_chainB;TYR13_chainA;TYR13_chainB;VAL17_chainA;VAL17_chainB,1,2,C:\TRKB_WP2\docking\reference\results\40chol\ISO_40chol_out.pdbqt
KET_R,40chol,-5.333,2.619,1,TYR13_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\reference\results\40chol\KET_R_40chol_out.pdbqt
KET_S,40chol,-5.209,2.626,1,TYR13_chainA,3,TYR13_chainA;TYR13_chainB;VAL17_chainA,1,2,C:\TRKB_WP2\docking\reference\results\40chol\KET_S_40chol_out.pdbqt
MOC,40chol,-5.009,2.510,2,TYR13_chainA;VAL17_chainA,2,TYR13_chainA;VAL17_chainA,1,1,C:\TRKB_WP2\docking\reference\results\40chol\MOC_40chol_out.pdbqt
VEN,40chol,-4.935,2.758,2,TYR13_chainA;VAL17_chainA,3,SER20_chainB;TYR13_chainA;VAL17_chainA,1,2,C:\TRKB_WP2\docking\reference\results\40chol\VEN_40chol_out.pdbqt
