ligand_id,system,best_affinity_kcal_mol,log_file
CPZ,20chol,-4.93,C:\TRKB_WP2\docking\reference\logs\CPZ_20chol.log
DPH,20chol,-5.095,C:\TRKB_WP2\docking\reference\logs\DPH_20chol.log
FLX_R,20chol,-5.763,C:\TRKB_WP2\docking\reference\logs\FLX_R_20chol.log
FLX_S,20chol,-5.574,C:\TRKB_WP2\docking\reference\logs\FLX_S_20chol.log
HNK_RR,20chol,-5.553,C:\TRKB_WP2\docking\reference\logs\HNK_RR_20chol.log
HNK_SS,20chol,-4.814,C:\TRKB_WP2\docking\reference\logs\HNK_SS_20chol.log
IMI,20chol,-5.151,C:\TRKB_WP2\docking\reference\logs\IMI_20chol.log
ISO,20chol,-4.334,C:\TRKB_WP2\docking\reference\logs\ISO_20chol.log
KET_R,20chol,-4.615,C:\TRKB_WP2\docking\reference\logs\KET_R_20chol.log
KET_S,20chol,-4.835,C:\TRKB_WP2\docking\reference\logs\KET_S_20chol.log
MOC,20chol,-4.959,C:\TRKB_WP2\docking\reference\logs\MOC_20chol.log
VEN,20chol,-4.681,C:\TRKB_WP2\docking\reference\logs\VEN_20chol.log
CPZ,40chol,-5.214,C:\TRKB_WP2\docking\reference\logs\CPZ_40chol.log
DPH,40chol,-5.53,C:\TRKB_WP2\docking\reference\logs\DPH_40chol.log
FLX_R,40chol,-5.783,C:\TRKB_WP2\docking\reference\logs\FLX_R_40chol.log
FLX_S,40chol,-6.196,C:\TRKB_WP2\docking\reference\logs\FLX_S_40chol.log
HNK_RR,40chol,-5.091,C:\TRKB_WP2\docking\reference\logs\HNK_RR_40chol.log
HNK_SS,40chol,-5.403,C:\TRKB_WP2\docking\reference\logs\HNK_SS_40chol.log
IMI,40chol,-6.253,C:\TRKB_WP2\docking\reference\logs\IMI_40chol.log
ISO,40chol,-4.659,C:\TRKB_WP2\docking\reference\logs\ISO_40chol.log
KET_R,40chol,-5.333,C:\TRKB_WP2\docking\reference\logs\KET_R_40chol.log
KET_S,40chol,-5.209,C:\TRKB_WP2\docking\reference\logs\KET_S_40chol.log
MOC,40chol,-5.009,C:\TRKB_WP2\docking\reference\logs\MOC_40chol.log
VEN,40chol,-4.935,C:\TRKB_WP2\docking\reference\logs\VEN_40chol.log
