ligand_id,system,best_affinity_kcal_mol,log_file
1.1,20chol,-5.203,C:\TRKB_WP2\docking\logs_batch\1.1_20chol.log
1.2,20chol,-5.011,C:\TRKB_WP2\docking\logs_batch\1.2_20chol.log
10.1,20chol,-5.122,C:\TRKB_WP2\docking\logs_batch\10.1_20chol.log
10.2,20chol,-5.808,C:\TRKB_WP2\docking\logs_batch\10.2_20chol.log
10.3,20chol,-5.317,C:\TRKB_WP2\docking\logs_batch\10.3_20chol.log
10.4,20chol,-5.315,C:\TRKB_WP2\docking\logs_batch\10.4_20chol.log
11.1,20chol,-5.421,C:\TRKB_WP2\docking\logs_batch\11.1_20chol.log
11.2,20chol,-5.608,C:\TRKB_WP2\docking\logs_batch\11.2_20chol.log
11.3,20chol,-5.257,C:\TRKB_WP2\docking\logs_batch\11.3_20chol.log
11.4,20chol,-5.351,C:\TRKB_WP2\docking\logs_batch\11.4_20chol.log
12.1,20chol,-5.119,C:\TRKB_WP2\docking\logs_batch\12.1_20chol.log
12.2,20chol,-5.216,C:\TRKB_WP2\docking\logs_batch\12.2_20chol.log
13.1,20chol,-5.552,C:\TRKB_WP2\docking\logs_batch\13.1_20chol.log
13.2,20chol,-5.782,C:\TRKB_WP2\docking\logs_batch\13.2_20chol.log
13.3,20chol,-5.13,C:\TRKB_WP2\docking\logs_batch\13.3_20chol.log
13.4,20chol,-5.219,C:\TRKB_WP2\docking\logs_batch\13.4_20chol.log
14.1,20chol,-5.772,C:\TRKB_WP2\docking\logs_batch\14.1_20chol.log
14.2,20chol,-5.418,C:\TRKB_WP2\docking\logs_batch\14.2_20chol.log
14.3,20chol,-5.283,C:\TRKB_WP2\docking\logs_batch\14.3_20chol.log
14.4,20chol,-5.421,C:\TRKB_WP2\docking\logs_batch\14.4_20chol.log
15.1,20chol,-5.109,C:\TRKB_WP2\docking\logs_batch\15.1_20chol.log
15.2,20chol,-4.909,C:\TRKB_WP2\docking\logs_batch\15.2_20chol.log
16.1,20chol,-5.262,C:\TRKB_WP2\docking\logs_batch\16.1_20chol.log
16.2,20chol,-5.033,C:\TRKB_WP2\docking\logs_batch\16.2_20chol.log
16.3,20chol,-5.637,C:\TRKB_WP2\docking\logs_batch\16.3_20chol.log
16.4,20chol,-5.36,C:\TRKB_WP2\docking\logs_batch\16.4_20chol.log
17.1,20chol,-5.665,C:\TRKB_WP2\docking\logs_batch\17.1_20chol.log
17.2,20chol,-5.382,C:\TRKB_WP2\docking\logs_batch\17.2_20chol.log
17.3,20chol,-5.696,C:\TRKB_WP2\docking\logs_batch\17.3_20chol.log
17.4,20chol,-5.644,C:\TRKB_WP2\docking\logs_batch\17.4_20chol.log
18.1,20chol,-5.488,C:\TRKB_WP2\docking\logs_batch\18.1_20chol.log
18.2,20chol,-5.757,C:\TRKB_WP2\docking\logs_batch\18.2_20chol.log
18.3,20chol,-5.626,C:\TRKB_WP2\docking\logs_batch\18.3_20chol.log
18.4,20chol,-5.843,C:\TRKB_WP2\docking\logs_batch\18.4_20chol.log
19.1,20chol,-5.52,C:\TRKB_WP2\docking\logs_batch\19.1_20chol.log
19.2,20chol,-5.658,C:\TRKB_WP2\docking\logs_batch\19.2_20chol.log
2.1,20chol,-5.458,C:\TRKB_WP2\docking\logs_batch\2.1_20chol.log
2.2,20chol,-5.584,C:\TRKB_WP2\docking\logs_batch\2.2_20chol.log
2.3,20chol,-5.577,C:\TRKB_WP2\docking\logs_batch\2.3_20chol.log
2.4,20chol,-5.32,C:\TRKB_WP2\docking\logs_batch\2.4_20chol.log
20.1,20chol,-5.047,C:\TRKB_WP2\docking\logs_batch\20.1_20chol.log
20.2,20chol,-5.027,C:\TRKB_WP2\docking\logs_batch\20.2_20chol.log
20.3,20chol,-5.031,C:\TRKB_WP2\docking\logs_batch\20.3_20chol.log
20.4,20chol,-5.342,C:\TRKB_WP2\docking\logs_batch\20.4_20chol.log
3.1,20chol,-5.307,C:\TRKB_WP2\docking\logs_batch\3.1_20chol.log
3.2,20chol,-5.219,C:\TRKB_WP2\docking\logs_batch\3.2_20chol.log
4.1,20chol,-5.714,C:\TRKB_WP2\docking\logs_batch\4.1_20chol.log
4.2,20chol,-5.897,C:\TRKB_WP2\docking\logs_batch\4.2_20chol.log
4.3,20chol,-5.602,C:\TRKB_WP2\docking\logs_batch\4.3_20chol.log
4.4,20chol,-5.782,C:\TRKB_WP2\docking\logs_batch\4.4_20chol.log
5.1,20chol,-5.549,C:\TRKB_WP2\docking\logs_batch\5.1_20chol.log
5.2,20chol,-4.928,C:\TRKB_WP2\docking\logs_batch\5.2_20chol.log
5.3,20chol,-5.3,C:\TRKB_WP2\docking\logs_batch\5.3_20chol.log
5.4,20chol,-5.055,C:\TRKB_WP2\docking\logs_batch\5.4_20chol.log
6.1,20chol,-5.645,C:\TRKB_WP2\docking\logs_batch\6.1_20chol.log
6.2,20chol,-5.518,C:\TRKB_WP2\docking\logs_batch\6.2_20chol.log
7.1,20chol,-5.299,C:\TRKB_WP2\docking\logs_batch\7.1_20chol.log
7.2,20chol,-4.962,C:\TRKB_WP2\docking\logs_batch\7.2_20chol.log
7.3,20chol,-5.386,C:\TRKB_WP2\docking\logs_batch\7.3_20chol.log
7.4,20chol,-5.007,C:\TRKB_WP2\docking\logs_batch\7.4_20chol.log
8.1,20chol,-5.782,C:\TRKB_WP2\docking\logs_batch\8.1_20chol.log
8.2,20chol,-5.728,C:\TRKB_WP2\docking\logs_batch\8.2_20chol.log
8.3,20chol,-5.492,C:\TRKB_WP2\docking\logs_batch\8.3_20chol.log
8.4,20chol,-5.506,C:\TRKB_WP2\docking\logs_batch\8.4_20chol.log
9.1,20chol,-5.528,C:\TRKB_WP2\docking\logs_batch\9.1_20chol.log
9.2,20chol,-5.423,C:\TRKB_WP2\docking\logs_batch\9.2_20chol.log
1.1,40chol,-5.249,C:\TRKB_WP2\docking\logs_batch\1.1_40chol.log
1.2,40chol,-5.264,C:\TRKB_WP2\docking\logs_batch\1.2_40chol.log
