step,time_ps,stage,target_temperature_K,actual_temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,ligand_key_min_distance_A,ligand_near_chains_count,ligand_heavy_rmsd_vs_100ps_input_A,ligand_heavy_rmsd_vs_original_R2_input_A,severe_lt_1A,close_lt_1p5A,status
0,0,initial_checkpoint,310,309.929,-453981.243893,144751.625,-309229.618893,3.70177,2,0.000476316,1.17115,0,0,ok
2000,1,310K_100ps,310,309.217,-452579.14819,144419.390625,-308159.757565,4.21125,2,0.503798,1.34088,0,0,ok
4000,2,310K_100ps,310,310.863,-451757.15112,145187.875,-306569.27612,3.52129,2,0.423546,1.24382,0,0,ok
6000,3,310K_100ps,310,310.722,-453491.819088,145122.21875,-308369.600338,4.53247,2,0.992407,1.64015,0,0,ok
8000,4,310K_100ps,310,310.196,-452068.61987,144876.53125,-307192.08862,4.0108,2,0.619609,1.44717,0,0,ok
10000,5,310K_100ps,310,309.714,-452617.079831,144651.5625,-307965.517331,4.07273,2,0.588462,1.39217,0,0,ok
12000,6,310K_100ps,310,309.57,-452689.769284,144584.359375,-308105.409909,3.47675,2,0.538566,1.23466,0,0,ok
14000,7,310K_100ps,310,313.268,-452086.746823,146311.25,-305775.496823,3.50428,2,0.646708,1.18396,0,0,ok
16000,8,310K_100ps,310,309.889,-451633.581784,144733.125,-306900.456784,3.71623,2,0.678815,1.24617,0,0,ok
18000,9,310K_100ps,310,311.399,-453122.429928,145438.5625,-307683.867428,3.52417,2,0.871391,1.30586,0,0,ok
20000,10,310K_100ps,310,306.937,-451866.947506,143354.453125,-308512.494381,3.81452,2,1.07272,1.59877,0,0,ok
22000,11,310K_100ps,310,310.32,-451286.171627,144934.640625,-306351.531002,3.39091,2,1.1489,1.66715,0,0,ok
24000,12,310K_100ps,310,309.744,-452165.691159,144665.390625,-307500.300534,3.34915,2,0.813027,1.25678,0,0,ok
26000,13,310K_100ps,310,311.562,-452571.02319,145514.65625,-307056.36694,3.88379,2,1.05057,1.60079,0,0,ok
28000,14,310K_100ps,310,309.668,-453200.373776,144629.84375,-308570.530026,3.98186,2,0.995045,1.46778,0,0,ok
30000,15,310K_100ps,310,311.231,-451237.279538,145359.8125,-305877.467038,3.63146,2,0.858155,1.4601,0,0,ok
32000,16,310K_100ps,310,309.331,-452568.933346,144472.375,-308096.558346,3.9791,2,0.91967,1.4462,0,0,ok
34000,17,310K_100ps,310,309.552,-452710.591549,144575.96875,-308134.622799,3.71116,2,0.765075,1.28585,0,0,ok
36000,18,310K_100ps,310,308.956,-451990.872799,144297.234375,-307693.638424,3.41507,2,0.594184,1.14022,0,0,ok
38000,19,310K_100ps,310,310.237,-452400.059811,144895.484375,-307504.575436,3.58744,2,0.739984,1.13804,0,0,ok
40000,20,310K_100ps,310,309.756,-450740.197018,144671.125,-306069.072018,3.44968,2,0.766032,1.49005,0,0,ok
42000,21,310K_100ps,310,308.625,-451957.650631,144142.8125,-307814.838131,3.65133,2,0.722074,1.48964,0,0,ok
44000,22,310K_100ps,310,309.817,-452188.806393,144699.578125,-307489.228268,3.70716,2,0.656363,1.33393,0,0,ok
