step,time_ps,stage,target_temperature_K,actual_temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,ligand_key_min_distance_A,ligand_near_chains_count,ligand_heavy_rmsd_A,severe_lt_1A,close_lt_1p5A,status
0,0,initial_310K,310,311.02,-451823.245846,145261.421875,-306561.823971,3.82059,2,5.60855e-06,0,0,ok
500,0.25,310K_50ps,310,311.185,-450805.005612,145338.3125,-305466.693112,3.7044,2,0.253635,0,0,ok
1000,0.5,310K_50ps,310,312.935,-451441.849362,146155.578125,-305286.271237,3.80315,2,0.33832,0,0,ok
1500,0.75,310K_50ps,310,309.765,-450440.373776,144675.03125,-305765.342526,3.58337,2,0.411844,0,0,ok
2000,1,310K_50ps,310,312.629,-450476.014401,146012.734375,-304463.280026,3.51717,2,0.390082,0,0,ok
2500,1.25,310K_50ps,310,310.494,-451046.888424,145015.515625,-306031.372799,3.66759,2,0.486731,0,0,ok
3000,1.5,310K_50ps,310,310.711,-451016.212643,145117.21875,-305898.993893,3.43971,2,0.492614,0,0,ok
3500,1.75,310K_50ps,310,309.529,-450064.974362,144565.125,-305499.849362,3.56652,2,0.690978,0,0,ok
4000,2,310K_50ps,310,311.438,-452932.854245,145456.75,-307476.104245,3.72542,2,0.661912,0,0,ok
4500,2.25,310K_50ps,310,309.698,-450541.703854,144643.78125,-305897.922604,3.84962,2,0.487653,0,0,ok
5000,2.5,310K_50ps,310,313.589,-451521.798581,146461.265625,-305060.532956,3.59853,2,0.452761,0,0,ok
5500,2.75,310K_50ps,310,308.894,-451564.248776,144268.3125,-307295.936276,3.9623,2,0.425845,0,0,ok
6000,3,310K_50ps,310,309.059,-452884.445065,144345.46875,-308538.976315,3.50104,2,0.557057,0,0,ok
6500,3.25,310K_50ps,310,311.22,-451614.514401,145354.75,-306259.764401,3.94197,2,0.61008,0,0,ok
7000,3.5,310K_50ps,310,311.262,-451751.39819,145374.34375,-306377.05444,4.08092,2,0.706102,0,0,ok
7500,3.75,310K_50ps,310,308.76,-451767.437252,144205.890625,-307561.546627,3.77498,2,0.738962,0,0,ok
8000,4,310K_50ps,310,310.871,-452697.475338,145191.96875,-307505.506588,3.56571,2,0.720524,0,0,ok
8500,4.25,310K_50ps,310,311.2,-453660.716549,145345.59375,-308315.122799,3.82366,2,0.786293,0,0,ok
9000,4.5,310K_50ps,310,310.799,-451519.319088,145158.1875,-306361.131588,3.79741,2,0.892268,0,0,ok
9500,4.75,310K_50ps,310,310.101,-451849.208737,144832.125,-307017.083737,4.09314,2,0.8677,0,0,ok
10000,5,310K_50ps,310,310.532,-451726.570065,145033.40625,-306693.163815,3.71284,2,0.904441,0,0,ok
10500,5.25,310K_50ps,310,308.96,-452654.514401,144299.34375,-308355.170651,3.49077,2,1.01077,0,0,ok
11000,5.5,310K_50ps,310,310.452,-451010.673581,144996.03125,-306014.642331,3.64664,2,1.07355,0,0,ok
11500,5.75,310K_50ps,310,312.415,-452252.779049,145912.71875,-306340.060299,3.68003,2,0.99127,0,0,ok
12000,6,310K_50ps,310,310.949,-451551.680416,145228.3125,-306323.367916,3.58713,2,0.937556,0,0,ok
12500,6.25,310K_50ps,310,311.377,-451018.692624,145427.96875,-305590.723874,3.44016,2,1.05245,0,0,ok
13000,6.5,310K_50ps,310,310.111,-452172.49487,144836.859375,-307335.635495,3.26873,2,1.19087,0,0,ok
13500,6.75,310K_50ps,310,311.814,-451768.581784,145632.40625,-306136.175534,3.45127,2,1.18733,0,0,ok
14000,7,310K_50ps,310,312.193,-452408.49487,145809.0625,-306599.43237,3.41101,2,1.24017,0,0,ok
14500,7.25,310K_50ps,310,311.346,-452887.326901,145413.578125,-307473.748776,3.37514,2,1.39911,0,0,ok
15000,7.5,310K_50ps,310,311.584,-452112.489987,145524.609375,-306587.880612,3.13721,2,1.43019,0,0,ok
15500,7.75,310K_50ps,310,312.306,-451677.417721,145861.9375,-305815.480221,2.90834,2,1.36316,0,0,ok
16000,8,310K_50ps,310,309.661,-453242.500729,144626.4375,-308616.063229,3.50052,2,1.38271,0,0,ok
16500,8.25,310K_50ps,310,311.608,-453346.117916,145536.125,-307809.992916,3.14903,2,1.4288,0,0,ok
17000,8.5,310K_50ps,310,308.547,-453379.529049,144106.4375,-309273.091549,3.20785,2,1.51349,0,0,ok
17500,8.75,310K_50ps,310,311.307,-453237.05737,145395.546875,-307841.510495,3.52936,2,1.36997,0,0,ok
18000,9,310K_50ps,310,311.105,-452085.77319,145301.140625,-306784.632565,3.47473,2,1.30364,0,0,ok
18500,9.25,310K_50ps,310,313.141,-451699.663815,146252.046875,-305447.61694,3.5532,2,1.22105,0,0,ok
19000,9.5,310K_50ps,310,310.224,-452754.592526,144889.765625,-307864.826901,3.32279,2,1.24613,0,0,ok
