step,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,max_force_kJ_mol_nm,top_force_atom,severe_lt_1A,close_lt_1p5A,ligand_key_min_distance_A,ligand_near_chains_count,ligand_rmsd_A,status
0,50.6839,-605229.262448,23671.8496094,2426.60260032,OH2 TIP3 TIP3:5889 index=37282,0,0,3.62575,2,6.03361e-06,ok
100,35.4919,-597812.822018,16576.4492188,2502.84412175,C21 POPC MEMB:143 index=18576,0,0,3.6227,2,0.0131237,ok
200,29.8596,-594355.678463,13945.8818359,2451.38076464,OH2 TIP3 TIP3:4391 index=32788,0,0,3.62506,2,0.0218069,ok
300,29.6813,-593322.688229,13862.5820312,2498.66343047,OH2 TIP3 TIP3:498 index=21109,0,0,3.62559,2,0.0294738,ok
400,29.0042,-592061.897213,13546.3457031,2501.2172769,OH2 TIP3 TIP3:3074 index=28837,0,0,3.61957,2,0.035958,ok
500,31.8155,-592448.150143,14859.3671875,2513.0908581,OH2 TIP3 TIP3:3074 index=28837,0,0,3.62476,2,0.0423223,ok
600,31.382,-591370.663327,14656.921875,2503.36652064,OH2 TIP3 TIP3:2594 index=27397,0,0,3.64158,2,0.0473832,ok
700,33.3108,-591442.143307,15557.7382812,2507.60854084,OH2 TIP3 TIP3:2594 index=27397,0,0,3.65979,2,0.0520628,ok
800,32.7182,-590370.49194,15280.96875,2471.10031671,OH2 TIP3 TIP3:7121 index=40978,0,0,3.67165,2,0.056016,ok
900,34.27,-590351.312741,16005.7255859,2489.94017104,OH2 TIP3 TIP3:296 index=20503,0,0,3.67487,2,0.0589925,ok
1000,34.132,-589583.574948,15941.3134766,2504.99247928,OH2 TIP3 TIP3:296 index=20503,0,0,3.67602,2,0.0610662,ok
1100,34.9823,-589264.323483,16338.4277344,2533.54418889,OH2 TIP3 TIP3:7909 index=43342,0,0,3.6862,2,0.0622992,ok
1200,36.6545,-589402.646237,17119.4101562,2574.12471755,OH2 TIP3 TIP3:7909 index=43342,0,0,3.70711,2,0.0636838,ok
1300,36.8079,-588872.469479,17191.0742188,2517.04511079,OH2 TIP3 TIP3:7909 index=43342,0,0,3.72454,2,0.0644033,ok
