step,stage,target_temperature_K,actual_temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,ligand_key_min_distance_A,ligand_near_chains_count,ligand_heavy_rmsd_A,severe_lt_1A,close_lt_1p5A,status
0,initial_50K,50,50.4003,-605229.268307,23539.3710938,-581689.897213,3.62575,2,6.03361e-06,0,0,ok
100,50K_2ps,50,34.4345,-589661.839596,16082.5673828,-573579.272213,3.68475,2,0.0577182,0,0,ok
200,50K_2ps,50,40.3972,-586673.532956,18867.421875,-567806.111081,3.62405,2,0.0633994,0,0,ok
300,50K_2ps,50,44.1457,-585078.765866,20618.1875,-564460.578366,3.61196,2,0.0883289,0,0,ok
400,50K_2ps,50,46.6075,-583979.508541,21767.953125,-562211.555416,3.56625,2,0.125245,0,0,ok
500,50K_2ps,50,47.8014,-583432.125241,22325.546875,-561106.578366,3.52284,2,0.160835,0,0,ok
600,50K_2ps,50,48.2426,-583080.183346,22531.6308594,-560548.552487,3.45465,2,0.18497,0,0,ok
700,50K_2ps,50,49.0391,-582989.111081,22903.6347656,-560085.476315,3.46049,2,0.202038,0,0,ok
800,50K_2ps,50,49.4676,-582845.36987,23103.7382812,-559741.631588,3.4609,2,0.231032,0,0,ok
900,50K_2ps,50,49.6497,-582860.608151,23188.8046875,-559671.803463,3.51001,2,0.273653,0,0,ok
1000,50K_2ps,50,49.423,-582791.580319,23082.9492188,-559708.6311,3.53002,2,0.292404,0,0,ok
1100,50K_2ps,50,49.8224,-582757.958737,23269.4746094,-559488.484127,3.57063,2,0.281892,0,0,ok
1200,50K_2ps,50,49.5865,-582663.093991,23159.3007812,-559503.793209,3.57755,2,0.254179,0,0,ok
1300,50K_2ps,50,50.1343,-582833.289791,23415.15625,-559418.133541,3.58701,2,0.245751,0,0,ok
1400,50K_2ps,50,50.0298,-582816.514889,23366.34375,-559450.171139,3.55106,2,0.265757,0,0,ok
1500,50K_2ps,50,49.9963,-582987.514401,23350.6757812,-559636.83862,3.6149,2,0.272022,0,0,ok
1600,50K_2ps,50,50.3454,-583186.135495,23513.7265625,-559672.408932,3.55655,2,0.281274,0,0,ok
1700,50K_2ps,50,50.4071,-583257.809323,23542.5351562,-559715.274166,3.60728,2,0.29764,0,0,ok
