step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,ligand_distance_TYR13_A,ligand_distance_VAL17_A,ligand_distance_SER20_A,ligand_min_distance_to_key_residues_A,ligand_near_chains_count,ligand_heavy_rmsd_vs_100ps_input_A,ligand_heavy_rmsd_vs_R2_minimized_A,severe_lt_1A,close_lt_1p5A,status
0,0,311.039,-446508.408227,141323.84375,-305184.564477,3.82823,7.75557,6.50974,3.82823,2,0.000487925,3.02287,0,0,ok
2000,1,310.1,-445098.449243,140897.34375,-304201.105493,3.39189,7.42041,6.99691,3.39189,2,0.852046,3.32195,0,0,ok
4000,2,308.877,-446207.95022,140341.703125,-305866.247095,4.05797,7.86657,6.84386,4.05797,2,0.600717,3.32906,0,0,ok
6000,3,309.201,-446176.237329,140488.84375,-305687.393579,3.43123,7.85192,7.35449,3.43123,2,0.690123,3.39181,0,0,ok
8000,4,313.342,-445662.807641,142370.296875,-303292.510766,3.58119,7.70605,7.22397,3.58119,2,0.86972,3.11929,0,0,ok
10000,5,312.364,-444841.98147,141925.9375,-302916.04397,3.57403,8.14553,8.22623,3.57403,2,0.964358,3.04777,0,0,ok
12000,6,312.194,-444499.98147,141848.6875,-302651.29397,3.23686,8.76427,8.38726,3.23686,2,1.33293,3.43074,0,0,ok
14000,7,309.972,-445541.300806,140838.875,-304702.425806,3.45826,7.67878,7.93837,3.45826,2,1.20457,3.21892,0,0,ok
16000,8,311.192,-446321.755884,141393.375,-304928.380884,3.95538,7.91558,7.72846,3.95538,2,0.915069,3.21892,0,0,ok
18000,9,311.406,-444839.374048,141490.359375,-303349.014673,3.43157,8.28391,8.03318,3.43157,2,1.28292,3.34233,0,0,ok
20000,10,310.904,-446545.129907,141262.28125,-305282.848657,4.6325,8.14351,8.43514,4.6325,2,1.73064,4.08201,0,0,ok
22000,11,310.26,-444681.711938,140970.03125,-303711.680688,3.72146,7.62065,8.36398,3.72146,2,1.70349,4.07085,0,0,ok
24000,12,309.266,-447280.418481,140518.21875,-306762.199731,4.71103,8.262,8.12625,4.71103,2,1.69558,4.16893,0,0,ok
26000,13,310.69,-446473.124048,141165.03125,-305308.092798,3.60938,8.5537,8.01532,3.60938,2,1.61995,3.99102,0,0,ok
28000,14,312.142,-447550.715845,141825.125,-305725.590845,3.4907,7.86616,8.23258,3.4907,2,1.51531,3.99814,0,0,ok
30000,15,309.868,-445202.76272,140791.875,-304410.88772,3.74492,8.04841,7.66446,3.74492,2,1.21187,3.76925,0,0,ok
32000,16,309.758,-445420.044946,140741.75,-304678.294946,4.26174,8.28416,7.81401,4.26174,2,1.39183,3.91783,0,0,ok
34000,17,311.511,-446864.767602,141538.265625,-305326.501977,3.71039,8.05556,7.85005,3.71039,2,1.36269,4.10992,0,0,ok
36000,18,308.077,-446146.454126,139978.125,-306168.329126,3.32374,7.99275,6.97583,3.32374,2,0.827498,3.41849,0,0,ok
38000,19,308.955,-445768.483423,140376.796875,-305391.686548,3.71648,7.82989,7.03677,3.71648,2,1.39007,3.95258,0,0,ok
40000,20,311.442,-445903.149438,141506.84375,-304396.305688,3.94008,8.0655,6.92539,3.94008,2,1.32731,3.79659,0,0,ok
42000,21,308.028,-446873.923852,139955.90625,-306918.017602,3.95213,7.76361,7.68289,3.95213,2,1.15879,3.70152,0,0,ok
44000,22,309.509,-445706.546899,140628.6875,-305077.859399,4.38968,8.36031,7.76625,4.38968,2,1.04034,3.58846,0,0,ok
46000,23,309.781,-444283.88479,140752.25,-303531.63479,3.51484,8.45857,8.32456,3.51484,2,1.26438,3.4634,0,0,ok
48000,24,312.433,-445693.693384,141957.3125,-303736.380884,3.70913,8.11764,8.01306,3.70913,2,1.41522,3.81732,0,0,ok
50000,25,309.332,-446280.483423,140548.4375,-305732.045923,3.65437,8.42236,8.14535,3.65437,2,1.36913,3.60699,0,0,ok
52000,26,307.626,-445501.307641,139773.09375,-305728.213891,3.28488,8.7559,7.77969,3.28488,2,1.35841,3.78142,0,0,ok
54000,27,311.295,-446233.576196,141440.21875,-304793.357446,3.50546,8.35684,7.91271,3.50546,2,1.20032,3.39834,0,0,ok
56000,28,311.461,-445489.88186,141515.5625,-303974.31936,3.89984,8.61586,7.4959,3.89984,2,0.886787,3.49795,0,0,ok
58000,29,309.777,-446725.320337,140750.21875,-305975.101587,3.49372,8.52896,7.45602,3.49372,2,1.03068,3.25114,0,0,ok
60000,30,310.448,-445655.804712,141055.484375,-304600.320337,3.445,8.84642,8.06818,3.445,2,1.3828,3.83164,0,0,ok
62000,31,309.643,-447527.039087,140689.46875,-306837.570337,3.55716,8.32506,8.42761,3.55716,2,1.3674,3.70787,0,0,ok
64000,32,312.183,-447299.891138,141843.78125,-305456.109888,3.35531,8.34355,7.19631,3.35531,2,1.49209,3.15388,0,0,ok
66000,33,309.095,-447335.531274,140440.34375,-306895.187524,3.31058,8.66132,7.86806,3.31058,2,1.52706,3.35443,0,0,ok
68000,34,308.956,-445801.599634,140377.21875,-305424.380884,3.76741,8.45083,8.05043,3.76741,2,1.56916,3.58505,0,0,ok
70000,35,313.696,-445910.246118,142530.859375,-303379.386743,3.55228,8.21993,8.03157,3.55228,2,1.2932,3.50052,0,0,ok
72000,36,309.813,-446242.25979,140766.9375,-305475.32229,3.88288,7.91174,7.64811,3.88288,2,0.948154,3.14093,0,0,ok
74000,37,311.23,-446209.128931,141410.40625,-304798.722681,3.22266,8.49183,7.91989,3.22266,2,1.01552,3.3599,0,0,ok
76000,38,312.683,-444695.956079,142070.78125,-302625.174829,3.56637,7.93918,7.42131,3.56637,2,0.826373,3.02593,0,0,ok
78000,39,309.535,-446470.584497,140640.296875,-305830.287622,3.59181,8.15989,7.84442,3.59181,2,1.21677,3.08095,0,0,ok
80000,40,311.643,-446386.626001,141598.28125,-304788.344751,3.53051,8.57852,7.80411,3.53051,2,1.0331,3.70299,0,0,ok
82000,41,310.919,-446643.405298,141269.28125,-305374.124048,3.45666,8.91859,8.27662,3.45666,2,1.49972,3.58434,0,0,ok
84000,42,309.362,-444974.734399,140561.71875,-304413.015649,3.6595,9.05786,8.33025,3.6595,2,1.45026,3.87782,0,0,ok
86000,43,312.567,-445131.70022,142018.15625,-303113.54397,3.9215,8.87017,8.40744,3.9215,2,1.25771,3.72338,0,0,ok
88000,44,310.191,-445900.885766,140938.546875,-304962.338891,3.72558,8.55818,7.48156,3.72558,2,1.16093,3.38425,0,0,ok
90000,45,312.886,-446199.415552,142162.890625,-304036.524927,3.7971,8.44448,7.9667,3.7971,2,1.30531,3.38682,0,0,ok
92000,46,311.196,-445453.246118,141395.25,-304057.996118,3.6175,8.53684,7.52443,3.6175,2,0.982606,3.43246,0,0,ok
94000,47,311.181,-447233.064477,141388.15625,-305844.908227,3.4779,8.72315,8.86492,3.4779,2,1.96662,3.9966,0,0,ok
96000,48,311.231,-446597.243188,141411.078125,-305186.165063,3.06787,8.72716,8.13193,3.06787,2,1.4812,3.58203,0,0,ok
98000,49,310.1,-445577.36477,140897.28125,-304680.08352,3.6884,9.01712,7.46766,3.6884,2,1.45973,3.6907,0,0,ok
100000,50,310.813,-447291.030298,141221.171875,-306069.858423,3.45395,7.77745,7.26123,3.45395,2,1.58419,3.98237,0,0,ok
