step,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,max_force_kJ_mol_nm,top_force_atom,severe_lt_1A,close_lt_1p5A,ligand_key_min_distance_A,ligand_near_chains_count,ligand_rmsd_A,status
0,49.8965,-615275.749536,22671.0039062,2355.48947656,OH2 TIP3 TIP3:7831 index=42408,0,0,3.60697,2,5.24844e-06,ok
100,35.032,-608109.055688,15917.1611328,2337.55362901,OH2 TIP3 TIP3:7831 index=42408,0,0,3.59276,2,0.0134467,ok
200,29.5629,-604794.388696,13432.1972656,2334.68914354,OH2 TIP3 TIP3:7831 index=42408,0,0,3.5731,2,0.0219969,ok
300,29.8864,-604005.66897,13579.203125,2409.63704438,OH2 TIP3 TIP3:5680 index=35955,0,0,3.55296,2,0.0277555,ok
400,29.4181,-602851.518579,13366.4287109,2435.74375086,OH2 TIP3 TIP3:5680 index=35955,0,0,3.54006,2,0.0324665,ok
500,32.5248,-603412.060571,14777.9785156,2392.25187381,OH2 TIP3 TIP3:5680 index=35955,0,0,3.53327,2,0.0341995,ok
600,32.0765,-602395.579126,14574.2929688,2400.67421431,OH2 TIP3 TIP3:4443 index=32244,0,0,3.52915,2,0.0364669,ok
700,33.4228,-602219.598169,15186.015625,2359.86538723,OH2 TIP3 TIP3:7854 index=42477,0,0,3.52825,2,0.0402765,ok
800,32.7013,-601115.421899,14858.1708984,2356.28451047,OH2 TIP3 TIP3:5719 index=36072,0,0,3.52819,2,0.0438451,ok
900,34.1595,-601017.888696,15520.7333984,2398.04503125,OH2 TIP3 TIP3:7417 index=41166,0,0,3.53397,2,0.0472719,ok
1000,34.2214,-600277.3052,15548.8496094,2474.50037622,OH2 TIP3 TIP3:7417 index=41166,0,0,3.54012,2,0.0510695,ok
1100,34.9342,-599935.411157,15872.7392578,2507.87015778,OH2 TIP3 TIP3:7417 index=41166,0,0,3.54731,2,0.056543,ok
1200,36.7632,-600150.334985,16703.75,2519.30018706,OH2 TIP3 TIP3:7417 index=41166,0,0,3.55418,2,0.062384,ok
1300,36.7411,-599536.989282,16693.6914062,2505.36745833,OH2 TIP3 TIP3:7417 index=41166,0,0,3.56096,2,0.0672624,ok
1400,37.9636,-599494.497583,17249.1796875,2486.36252787,OH2 TIP3 TIP3:7417 index=41166,0,0,3.56941,2,0.0708377,ok
1500,37.4637,-598736.22854,17022.0351562,2456.82384084,OH2 TIP3 TIP3:7417 index=41166,0,0,3.58227,2,0.0738225,ok
1600,38.5409,-598691.019556,17511.4648438,2471.91489599,OH2 TIP3 TIP3:7831 index=42408,0,0,3.60469,2,0.0766364,ok
1700,38.2134,-598009.690454,17362.6777344,2468.01566911,OH2 TIP3 TIP3:8275 index=43740,0,0,3.62586,2,0.0795772,ok
1800,39.1576,-597955.005395,17791.6777344,2455.6943282,OH2 TIP3 TIP3:8275 index=43740,0,0,3.6406,2,0.0836293,ok
1900,39.8643,-597802.420923,18112.78125,2401.23931809,OH2 TIP3 TIP3:8275 index=43740,0,0,3.6542,2,0.0878656,ok
2000,39.7602,-597343.032739,18065.4453125,2457.65774714,OH2 TIP3 TIP3:9196 index=46503,0,0,3.66583,2,0.0908365,ok
2100,40.9135,-597386.79397,18589.4707031,2463.18811814,OH2 TIP3 TIP3:9196 index=46503,0,0,3.67386,2,0.0928705,ok
2200,40.8054,-596916.759302,18540.3710938,2409.71450466,OH2 TIP3 TIP3:7854 index=42477,0,0,3.68372,2,0.09567,ok
