step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,ligand_key_min_distance_A,ligand_near_chains_count,ligand_rmsd_A,severe_lt_1A,close_lt_1p5A,status
0,0,50.4376,-617411.648518,22916.421875,3.62168,2,6.79555e-06,0,0,ok
100,0.005,35.3089,-610250.777424,16042.6943359,3.62068,2,0.0151252,0,0,ok
200,0.01,30.0482,-606974.644612,13652.4560547,3.61621,2,0.0243839,0,0,ok
300,0.015,29.9587,-606037.598713,13611.7792969,3.61226,2,0.0329043,0,0,ok
400,0.02,29.4878,-604878.233479,13397.8535156,3.60711,2,0.0399555,0,0,ok
500,0.025,32.517,-605382.205159,14774.1865234,3.60004,2,0.0475414,0,0,ok
600,0.03,32.2286,-604360.334065,14643.1201172,3.58368,2,0.0542287,0,0,ok
700,0.035,33.7568,-604322.141682,15337.484375,3.56583,2,0.0587353,0,0,ok
800,0.04,32.791,-603119.938069,14898.65625,3.55636,2,0.0623797,0,0,ok
900,0.045,34.2115,-603045.452717,15544.0810547,3.56316,2,0.0652502,0,0,ok
1000,0.05,34.2147,-602310.376057,15545.5410156,3.578,2,0.0690227,0,0,ok
1100,0.055,35.015,-601961.751057,15909.1230469,3.58875,2,0.0741872,0,0,ok
1200,0.06,37.0082,-602227.477619,16814.7578125,3.59516,2,0.079177,0,0,ok
1300,0.065,36.6326,-601452.950276,16644.1132812,3.59568,2,0.0822525,0,0,ok
1400,0.07,38.0994,-601541.719807,17310.5273438,3.58512,2,0.0830381,0,0,ok
1500,0.075,37.7856,-600882.752034,17167.9648438,3.56547,2,0.0832943,0,0,ok
1600,0.08,38.4958,-600671.788166,17490.6445312,3.54954,2,0.0842475,0,0,ok
1700,0.085,38.5517,-600150.879963,17516.0390625,3.5328,2,0.085818,0,0,ok
1800,0.09,39.0202,-599853.751057,17728.890625,3.51715,2,0.0881031,0,0,ok
1900,0.095,39.7805,-599688.038166,18074.34375,3.5134,2,0.0904295,0,0,ok
2000,0.1,39.9889,-599313.260334,18169.0410156,3.53135,2,0.0917653,0,0,ok
2100,0.105,41.011,-599350.28426,18633.4414062,3.55864,2,0.0917803,0,0,ok
2200,0.11,40.9149,-598966.452229,18589.7773438,3.57606,2,0.0919694,0,0,ok
2300,0.115,41.6815,-598944.422932,18938.0703125,3.57821,2,0.0917949,0,0,ok
2400,0.12,41.6401,-598584.070393,18919.2832031,3.56694,2,0.0918971,0,0,ok
2500,0.125,42.2153,-598525.117756,19180.59375,3.55475,2,0.091445,0,0,ok
2600,0.13,42.7482,-598406.948811,19422.7265625,3.5471,2,0.0920907,0,0,ok
2700,0.135,42.7035,-598050.017659,19402.4042969,3.54643,2,0.0924122,0,0,ok
2800,0.14,43.2313,-597963.253987,19642.2128906,3.54621,2,0.0922821,0,0,ok
2900,0.145,43.2847,-597654.845295,19666.484375,3.54514,2,0.0927052,0,0,ok
3000,0.15,43.7828,-597608.522541,19892.828125,3.54423,2,0.0951902,0,0,ok
3100,0.155,43.9375,-597480.586018,19963.109375,3.54574,2,0.0981921,0,0,ok
3200,0.16,44.3548,-597399.490803,20152.6914062,3.55423,2,0.100975,0,0,ok
3300,0.165,44.7442,-597327.975666,20329.6132812,3.57121,2,0.105138,0,0,ok
3400,0.17,44.7728,-597093.023518,20342.6230469,3.59328,2,0.109533,0,0,ok
3500,0.175,45.2868,-597103.771076,20576.1679688,3.61284,2,0.113856,0,0,ok
3600,0.18,45.3891,-596832.432698,20622.6464844,3.62883,2,0.118125,0,0,ok
3700,0.185,45.7248,-596775.700764,20775.1699219,3.64973,2,0.120755,0,0,ok
3800,0.19,45.807,-596609.870686,20812.5117188,3.67881,2,0.123222,0,0,ok
3900,0.195,45.8382,-596504.844319,20826.6992188,3.71132,2,0.125647,0,0,ok
4000,0.2,46.3594,-596563.088459,21063.5078125,3.74325,2,0.129154,0,0,ok
