step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,ligand_distance_TYR13_A,ligand_distance_VAL17_A,ligand_distance_SER20_A,ligand_min_distance_to_key_residues_A,ligand_near_chains_count,ligand_heavy_rmsd_vs_100ps_input_A,ligand_heavy_rmsd_vs_original_R2_minimized_input_A,severe_lt_1A,close_lt_1p5A,status
2000,1,310.536,-453681.960612,145444.4375,-308237.523112,3.95805,4.19474,5.23463,3.95805,2,0.675177,1.623,0,0,ok
4000,2,310.85,-455203.591472,145591.75,-309611.841472,4.03243,4.0682,4.6763,4.03243,2,0.63903,1.67231,0,0,ok
6000,3,310.198,-456228.752605,145286.3125,-310942.440105,3.52396,3.5863,4.72323,3.52396,2,0.508017,1.41633,0,0,ok
8000,4,310.142,-455352.986491,145260.09375,-310092.892741,3.4572,4.26816,5.48349,3.4572,2,0.888537,1.25101,0,0,ok
10000,5,311.041,-453971.2653,145681.25,-308290.0153,3.54453,3.95748,4.6213,3.54453,2,0.519761,1.46459,0,0,ok
12000,6,311.389,-455202.312663,145844.078125,-309358.234538,3.58702,3.94154,4.872,3.58702,2,1.12171,1.6107,0,0,ok
14000,7,310.897,-454853.345378,145613.71875,-309239.626628,3.52308,4.02213,5.06082,3.52308,2,1.04029,1.72983,0,0,ok
16000,8,310.185,-455586.769206,145279.96875,-310306.800456,4.5542,3.86656,4.27127,3.86656,2,1.12657,2.22881,0,0,ok
18000,9,311.777,-456034.401042,146025.5625,-310008.838542,4.29696,4.12691,4.86811,4.12691,2,1.00312,2.07837,0,0,ok
20000,10,308.502,-454385.034831,144491.6875,-309893.347331,4.09761,3.89786,5.1173,3.89786,2,0.642151,1.81894,0,0,ok
22000,11,311.707,-454607.418132,145993.03125,-308614.386882,3.706,4.04863,3.80284,3.706,2,0.933206,1.94747,0,0,ok
24000,12,307.853,-455168.000651,144188.078125,-310979.922526,3.56952,3.70163,3.77329,3.56952,2,0.683855,1.84696,0,0,ok
26000,13,310.83,-454990.088542,145582.1875,-309407.901042,4.05501,3.99917,4.60683,3.99917,2,0.596524,1.68882,0,0,ok
28000,14,310.166,-454518.370769,145271.484375,-309246.886394,3.49618,3.91392,4.56626,3.49618,2,0.802877,1.56844,0,0,ok
30000,15,312.384,-455555.848308,146310.15625,-309245.692058,3.75691,3.91631,5.74572,3.75691,2,0.974068,1.29736,0,0,ok
32000,16,309.071,-455499.657878,144758.3125,-310741.345378,3.5342,4.14826,5.77311,3.5342,2,1.10603,1.34922,0,0,ok
34000,17,310.167,-455665.915691,145271.609375,-310394.306316,3.52684,4.60133,5.78452,3.52684,2,1.25586,1.1851,0,0,ok
36000,18,309.945,-455498.241862,145167.90625,-310330.335612,3.82448,4.28017,5.99513,3.82448,2,1.23879,1.53761,0,0,ok
38000,19,312.256,-455016.489909,146250.09375,-308766.396159,3.81632,4.02126,5.36206,3.81632,2,1.27099,1.76954,0,0,ok
40000,20,311.261,-454693.454753,145784.03125,-308909.423503,3.35967,4.22992,4.90641,3.35967,2,1.15629,1.31556,0,0,ok
42000,21,310.122,-455924.914714,145250.84375,-310674.070964,3.47029,3.84858,5.66415,3.47029,2,1.42029,1.63752,0,0,ok
44000,22,310.746,-455856.510417,145542.734375,-310313.776042,3.48929,3.47679,5.78003,3.47679,2,1.29255,1.11387,0,0,ok
46000,23,309.751,-455696.182292,145076.984375,-310619.197917,3.56614,3.8601,5.2224,3.56614,2,1.2039,1.38261,0,0,ok
48000,24,308.944,-455783.648112,144698.875,-311084.773112,3.4702,4.09247,5.19963,3.4702,2,0.968926,1.44283,0,0,ok
50000,25,310.254,-455962.846355,145312.28125,-310650.565105,3.65276,3.78448,6.32452,3.65276,2,1.33915,1.85496,0,0,ok
52000,26,309.086,-456710.67448,144765.484375,-311945.190105,3.61332,3.93753,5.56271,3.61332,2,1.66528,2.20545,0,0,ok
54000,27,310.094,-455524.219401,145237.5625,-310286.656901,3.73375,3.86108,5.80445,3.73375,2,1.58673,2.21698,0,0,ok
56000,28,309.323,-454949.552409,144876.3125,-310073.239909,3.78506,3.87903,6.0424,3.78506,2,1.59608,2.27626,0,0,ok
58000,29,309.22,-456900.85612,144828.375,-312072.48112,3.68443,3.70593,6.25178,3.68443,2,1.53726,2.17179,0,0,ok
60000,30,308.892,-455029.460612,144674.59375,-310354.866862,3.74794,4.09835,5.9548,3.74794,2,1.24587,1.83524,0,0,ok
62000,31,308.47,-456129.900066,144477.03125,-311652.868816,3.85966,4.12183,6.24744,3.85966,2,1.73377,2.08686,0,0,ok
64000,32,308.954,-456568.932292,144703.40625,-311865.526042,3.92546,4.52288,6.57807,3.92546,2,1.81546,2.12043,0,0,ok
66000,33,310.713,-455021.944987,145527.609375,-309494.335612,3.90346,3.66568,6.62068,3.66568,2,1.7339,2.19482,0,0,ok
68000,34,311.601,-456192.35905,145943.59375,-310248.7653,3.39994,4.13041,6.78877,3.39994,2,1.79206,2.03251,0,0,ok
70000,35,310.596,-455579.263347,145472.734375,-310106.528972,3.40662,3.63802,6.22287,3.40662,2,1.54362,1.83796,0,0,ok
72000,36,310.45,-456172.73405,145404.34375,-310768.3903,3.46415,4.38629,6.32473,3.46415,2,1.61643,2.04639,0,0,ok
74000,37,312.506,-455459.477214,146367.34375,-309092.133464,3.62241,4.14191,6.98727,3.62241,2,1.73429,2.2161,0,0,ok
76000,38,309.106,-456006.493816,144774.765625,-311231.728191,3.61133,4.72789,7.03798,3.61133,2,2.02107,1.96789,0,0,ok
78000,39,311.398,-455330.009441,145848.0625,-309481.946941,3.26566,4.47163,7.37844,3.26566,2,1.92043,2.02552,0,0,ok
80000,40,309.899,-456880.773112,145146.171875,-311734.601237,4.0775,4.49223,6.93353,4.0775,2,1.89084,2.12472,0,0,ok
82000,41,311.246,-456138.999675,145777.234375,-310361.7653,3.71919,4.60666,6.15221,3.71919,2,1.53474,1.96378,0,0,ok
84000,42,310.153,-455468.532878,145265.015625,-310203.517253,3.4328,4.13862,5.69163,3.4328,2,1.61083,2.22819,0,0,ok
86000,43,310.188,-456306.787761,145281.609375,-311025.178386,3.77251,4.57862,6.99602,3.77251,2,2.02615,2.30839,0,0,ok
88000,44,308.643,-456943.270183,144557.84375,-312385.426433,3.27627,4.22577,5.78867,3.27627,2,1.69487,1.89527,0,0,ok
90000,45,310.111,-456239.367839,145245.328125,-310994.039714,3.63333,4.04165,5.72271,3.63333,2,1.64409,2.07503,0,0,ok
92000,46,309.595,-457316.634441,145003.859375,-312312.775066,3.4158,3.92441,6.09768,3.4158,2,1.43591,1.94418,0,0,ok
94000,47,309.659,-456847.382487,145033.578125,-311813.804362,3.89332,3.90364,5.6112,3.89332,2,1.61805,2.23301,0,0,ok
96000,48,310.822,-457750.780925,145578.5625,-312172.218425,3.91244,4.06918,6.33784,3.91244,2,1.73015,2.34703,0,0,ok
98000,49,308.69,-457300.197429,144579.734375,-312720.463054,3.14915,4.13936,6.59343,3.14915,2,1.76465,2.35613,0,0,ok
100000,50,313.076,-457749.841472,146634.125,-311115.716472,4.0346,4.67149,6.09007,4.0346,2,1.84391,2.37398,0,0,ok
102000,51,311.554,-456877.073894,145921.1875,-310955.886394,3.76648,4.66621,6.39499,3.76648,2,1.85023,2.26086,0,0,ok
104000,52,311.979,-454819.48112,146120.625,-308698.85612,4.05107,4.65711,6.04297,4.05107,2,1.9418,2.39386,0,0,ok
106000,53,311.363,-457649.98698,145831.96875,-311818.01823,3.87893,3.4699,6.67665,3.4699,2,1.94851,2.38239,0,0,ok
108000,54,309.595,-456437.585612,145003.65625,-311433.929362,3.85425,3.82939,5.59041,3.82939,2,1.47537,1.58184,0,0,ok
110000,55,309.526,-456618.062175,144971.671875,-311646.3903,3.8281,4.50626,6.46099,3.8281,2,1.72005,1.36461,0,0,ok
112000,56,309.813,-457322.775066,145105.71875,-312217.056316,4.07119,3.78638,5.1266,3.78638,2,1.21651,1.48342,0,0,ok
114000,57,309.161,-455884.256511,144800.65625,-311083.600261,3.73846,4.12876,6.06033,3.73846,2,1.34269,1.85395,0,0,ok
116000,58,310.599,-456288.520183,145474.09375,-310814.426433,3.72655,4.44776,6.14752,3.72655,2,1.11501,1.28934,0,0,ok
118000,59,311.435,-457044.193034,145865.59375,-311178.599284,3.36917,4.15586,6.65924,3.36917,2,1.30384,1.38991,0,0,ok
120000,60,308.818,-455447.979167,144639.96875,-310808.010417,3.88214,4.15917,6.07811,3.88214,2,1.06426,1.58895,0,0,ok
122000,61,310.498,-456250.39323,145426.921875,-310823.471355,3.77131,4.17668,6.27713,3.77131,2,1.30207,1.76545,0,0,ok
124000,62,308.294,-456597.842448,144394.6875,-312203.154948,3.76829,4.21533,5.95214,3.76829,2,1.17907,1.94574,0,0,ok
126000,63,309.513,-456183.061198,144965.21875,-311217.842448,3.66496,3.96339,5.77578,3.66496,2,1.27057,1.80438,0,0,ok
128000,64,314.423,-456569.048503,147265.28125,-309303.767253,3.523,3.91527,6.10156,3.523,2,1.42489,1.71387,0,0,ok
130000,65,310.883,-456666.150066,145607.25,-311058.900066,3.58755,4.14674,5.44425,3.58755,2,1.45414,1.96788,0,0,ok
132000,66,309.47,-456126.152995,144945.234375,-311180.91862,3.64151,3.78898,5.52922,3.64151,2,1.541,2.00743,0,0,ok
134000,67,309.885,-456196.648112,145139.671875,-311056.976237,3.51367,3.99796,5.45535,3.51367,2,1.08981,1.55548,0,0,ok
136000,68,309.012,-454887.184734,144730.8125,-310156.372234,3.60945,4.29141,5.5792,3.60945,2,1.1657,1.63763,0,0,ok
138000,69,310.996,-457928.646159,145660.125,-312268.521159,3.95589,3.92133,5.45019,3.92133,2,1.19458,1.59632,0,0,ok
140000,70,309.663,-456005.653972,145035.671875,-310969.982097,3.63838,4.88547,5.85109,3.63838,2,1.36303,1.58145,0,0,ok
142000,71,310.689,-456702.170573,145516.234375,-311185.936198,3.93619,4.01021,6.02944,3.93619,2,1.48193,1.90631,0,0,ok
144000,72,311.985,-456426.938151,146123.171875,-310303.766276,3.7229,3.94914,6.36476,3.7229,2,1.46837,1.8403,0,0,ok
146000,73,309.521,-456016.433269,144968.9375,-311047.495769,3.72537,3.57885,5.78747,3.57885,2,1.72032,2.18918,0,0,ok
148000,74,309.228,-456163.096355,144831.984375,-311331.11198,3.91294,4.06311,7.47164,3.91294,2,1.84802,2.22783,0,0,ok
150000,75,311.952,-457721.583659,146107.765625,-311613.818034,4.04513,4.41942,6.04502,4.04513,2,1.93671,2.18661,0,0,ok
152000,76,312.056,-457438.957683,146156.625,-311282.332683,3.79021,4.26119,6.65802,3.79021,2,2.20578,2.4725,0,0,ok
154000,77,307.158,-457604.985026,143862.515625,-313742.469401,4.03633,4.71207,6.62039,4.03633,2,2.05339,2.40125,0,0,ok
156000,78,310.301,-457425.583659,145334.328125,-312091.255534,4.31171,4.24144,6.09774,4.24144,2,1.82841,2.17007,0,0,ok
158000,79,309.125,-456574.982097,144783.75,-311791.232097,3.7628,3.97844,7.16849,3.7628,2,1.99945,2.4402,0,0,ok
160000,80,309.727,-456937.323894,145065.84375,-311871.480144,3.67767,4.01499,6.99163,3.67767,2,2.05853,2.62674,0,0,ok
162000,81,309.652,-456915.969401,145030.59375,-311885.375651,3.83318,3.97433,5.14467,3.83318,2,1.80997,2.48274,0,0,ok
164000,82,307.654,-457903.051433,144094.53125,-313808.520183,3.60816,4.37458,6.05192,3.60816,2,1.81432,2.49713,0,0,ok
166000,83,311.369,-457615.6403,145834.703125,-311780.937175,3.65196,4.17158,5.71639,3.65196,2,1.65848,2.24528,0,0,ok
168000,84,310.035,-456554.600261,145209.8125,-311344.787761,3.54554,4.076,4.89405,3.54554,2,1.43805,1.87711,0,0,ok
170000,85,312.066,-456200.032878,146160.921875,-310039.111003,3.82905,4.38939,4.87075,3.82905,2,1.18932,1.72659,0,0,ok
172000,86,309.513,-455727.226237,144965.203125,-310762.023112,3.88033,4.01076,5.08087,3.88033,2,1.60147,2.05936,0,0,ok
