step,time_ps,temperature_K,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,ligand_distance_TYR13_A,ligand_distance_VAL17_A,ligand_distance_SER20_A,ligand_min_distance_to_key_residues_A,ligand_near_chains_count,ligand_heavy_rmsd_vs_50ps_input_A,severe_lt_1A,close_lt_1p5A,status
1000,0.5,308.334,-453472.976237,144413.1875,-309059.788737,3.63026,3.63255,6.08891,3.63026,2,0.518204,0,0,ok
2000,1,311.238,-453331.974773,145773.4375,-307558.537273,3.69751,3.70578,7.03753,3.69751,2,0.555093,0,0,ok
3000,1.5,311.744,-452880.157878,146010.3125,-306869.845378,3.48196,3.56409,6.78787,3.48196,2,0.576642,0,0,ok
4000,2,312.133,-452786.35612,146192.53125,-306593.82487,3.70263,3.91158,6.72677,3.70263,2,0.511991,0,0,ok
5000,2.5,310.08,-452623.391276,145230.890625,-307392.500651,3.6549,3.94586,6.73882,3.6549,2,0.720585,0,0,ok
6000,3,309.74,-453179.657878,145071.65625,-308108.001628,3.4081,4.01163,6.93305,3.4081,2,0.919473,0,0,ok
7000,3.5,309.48,-453394.227214,144950.078125,-308444.149089,3.58692,3.64908,6.73475,3.58692,2,1.05025,0,0,ok
8000,4,309.743,-451978.592448,145073.09375,-306905.498698,3.80164,3.90259,6.87462,3.80164,2,1.01713,0,0,ok
9000,4.5,309.793,-454854.395183,145096.359375,-309758.035808,3.74723,3.40673,6.78858,3.40673,2,1.42147,0,0,ok
10000,5,309.777,-452350.314128,145088.875,-307261.439128,3.28746,3.70218,6.68889,3.28746,2,1.18346,0,0,ok
11000,5.5,309.544,-452515.432292,144979.703125,-307535.729167,3.56078,3.62973,6.8467,3.56078,2,1.15941,0,0,ok
12000,6,309.128,-452880.189128,144785.1875,-308095.001628,3.91998,4.15075,6.8594,3.91998,2,0.925089,0,0,ok
13000,6.5,309.201,-453604.625651,144819.125,-308785.500651,3.73828,3.85706,6.95758,3.73828,2,1.36751,0,0,ok
14000,7,309.082,-452291.400066,144763.5625,-307527.837566,3.54483,3.83134,7.55888,3.54483,2,1.25114,0,0,ok
15000,7.5,310.711,-453726.444011,145526.40625,-308200.037761,3.49623,4.17929,6.63566,3.49623,2,1.18,0,0,ok
16000,8,308.631,-454475.028972,144552.265625,-309922.763347,3.67564,4.00016,6.45831,3.67564,2,1.36171,0,0,ok
17000,8.5,311.25,-453879.8278,145778.875,-308100.9528,3.68745,4.15294,5.8132,3.68745,2,1.57356,0,0,ok
18000,9,310.256,-453921.283855,145313.53125,-308607.752605,3.73443,3.88586,6.86385,3.73443,2,1.68296,0,0,ok
19000,9.5,309.799,-453700.823894,145099.15625,-308601.667644,3.25437,4.04012,6.92062,3.25437,2,1.51554,0,0,ok
20000,10,310.317,-453047.283855,145341.9375,-307705.346355,3.61755,4.19545,6.69354,3.61755,2,1.57685,0,0,ok
21000,10.5,309.717,-453598.814128,145061.03125,-308537.782878,3.37907,3.88472,7.12217,3.37907,2,1.68049,0,0,ok
