time_ps,system,temperature_K,potential_energy_kJ_mol,ligand_rmsd_A,key_min_distance_A,TYR13_distance_A,VAL17_distance_A,SER20_distance_A,near_chains,severe_clashes,close_contacts,status
1,20chol,310.968,-454568,0.986619,3.28552,3.70425,3.6503,3.28552,2,0,0,ok
1,40chol,308.366,-446847,1.09496,3.74522,4.3977,4.30323,3.74522,2,0,0,ok
2,20chol,309.907,-454733,0.815029,3.26124,3.88308,3.26124,3.37162,2,0,0,ok
2,40chol,310.062,-445774,0.964328,3.81333,4.09028,3.89033,3.81333,2,0,0,ok
3,20chol,313.033,-455398,0.751661,3.0943,3.56078,3.16259,3.0943,2,0,0,ok
3,40chol,307.472,-447030,0.988822,3.37828,4.465,4.01088,3.37828,2,0,0,ok
4,20chol,310.157,-454026,0.760494,3.25613,3.91984,3.49378,3.25613,2,0,0,ok
4,40chol,309.307,-445711,1.28555,3.57996,4.82692,3.78479,3.57996,2,0,0,ok
5,20chol,312.09,-455451,0.793259,3.32352,4.06985,3.32352,3.45115,2,0,0,ok
5,40chol,310.426,-444904,1.28064,3.70114,4.37854,4.11855,3.70114,2,0,0,ok
6,20chol,309.599,-456225,0.857813,3.38916,3.55484,3.38916,3.8268,2,0,0,ok
6,40chol,309.832,-446487,1.04494,3.67599,3.67599,3.75269,3.82125,2,0,0,ok
7,20chol,310.079,-455678,0.852957,3.11061,4.03838,3.30922,3.11061,2,0,0,ok
7,40chol,310.327,-446140,1.52391,3.64347,3.66281,3.84896,3.64347,2,0,0,ok
8,20chol,311.008,-454417,0.914301,3.30163,3.79656,3.30163,3.32309,2,0,0,ok
8,40chol,309.254,-446999,1.85232,3.64254,4.41523,3.64254,3.64463,2,0,0,ok
9,20chol,310.443,-456165,0.74397,3.59153,3.89125,3.59153,3.66311,2,0,0,ok
9,40chol,309.133,-447871,1.6068,3.35013,3.61692,3.57545,3.35013,2,0,0,ok
10,20chol,309.068,-455559,0.968932,3.32847,4.13786,3.32847,3.4663,2,0,0,ok
10,40chol,313.78,-445789,1.80574,3.92667,4.68445,4.1167,3.92667,2,0,0,ok
11,20chol,311.073,-455408,1.10959,3.43259,3.58527,3.99051,3.43259,2,0,0,ok
11,40chol,309.313,-446204,1.13162,3.60063,4.27919,3.83721,3.60063,2,0,0,ok
12,20chol,308.748,-453914,1.55589,3.79496,4.16244,4.4364,3.79496,2,0,0,ok
12,40chol,310.248,-445471,1.22454,3.72949,4.10779,4.04342,3.72949,2,0,0,ok
13,20chol,309.339,-454414,1.52427,3.12577,3.78245,4.0923,3.12577,2,0,0,ok
13,40chol,310.444,-445931,1.31785,3.71038,4.03863,3.79814,3.71038,2,0,0,ok
14,20chol,308.936,-455105,1.74693,4.10447,4.10447,4.35046,4.33859,2,0,0,ok
14,40chol,310.981,-446123,1.62454,3.32905,4.2968,4.06995,3.32905,2,0,0,ok
15,20chol,309.575,-455127,1.78801,3.73661,3.73661,4.45825,3.94588,2,0,0,ok
15,40chol,310.534,-445980,0.931122,3.39549,4.27789,3.71531,3.39549,2,0,0,ok
16,20chol,310.579,-455532,1.81045,3.78706,3.9713,3.78706,3.82984,2,0,0,ok
16,40chol,309.611,-445418,1.01799,3.91226,4.03738,3.91226,4.33935,2,0,0,ok
17,20chol,309.342,-455878,1.7432,3.52277,4.59121,3.91175,3.52277,2,0,0,ok
17,40chol,310.421,-445553,0.950479,3.40528,3.93365,3.50475,3.40528,2,0,0,ok
18,20chol,309.94,-455606,1.78336,3.46725,3.79653,3.60658,3.46725,2,0,0,ok
18,40chol,311.323,-447244,1.34505,3.74899,4.65861,3.74899,3.78113,2,0,0,ok
19,20chol,312.183,-456352,1.80264,3.62454,3.65381,3.86907,3.62454,2,0,0,ok
19,40chol,308.766,-447021,1.2353,3.66612,4.0798,3.84245,3.66612,2,0,0,ok
20,20chol,309.888,-455368,1.4848,3.48797,3.77707,4.00918,3.48797,2,0,0,ok
20,40chol,309.077,-446713,1.55025,3.7213,4.08049,3.7213,3.76119,2,0,0,ok
21,20chol,309.422,-455049,1.40309,3.52918,3.52918,4.14166,3.70242,2,0,0,ok
21,40chol,311.909,-447636,1.48385,3.59427,3.84093,3.87876,3.59427,2,0,0,ok
22,20chol,309.087,-453351,1.68916,3.67219,3.83104,3.67219,4.1182,2,0,0,ok
22,40chol,310.637,-446650,1.42738,3.46759,3.62717,3.46759,3.80202,2,0,0,ok
23,20chol,309.995,-455231,1.73611,3.56524,3.83606,3.56524,4.00322,2,0,0,ok
23,40chol,309.144,-445777,1.54104,3.57358,4.41326,3.57358,3.80124,2,0,0,ok
24,20chol,310.78,-455445,1.51249,3.54496,3.84873,3.95937,3.54496,2,0,0,ok
24,40chol,310.294,-446187,1.9283,3.47829,5.44908,3.47829,3.76777,2,0,0,ok
25,20chol,308.759,-456582,1.6393,3.94369,3.94369,4.6288,4.36151,2,0,0,ok
25,40chol,311.326,-445671,1.64267,3.52871,4.54532,4.12556,3.52871,2,0,0,ok
26,20chol,312.261,-455874,1.28731,3.72456,3.77291,4.43901,3.72456,2,0,0,ok
26,40chol,309.54,-446734,1.65081,3.67272,3.93244,3.978,3.67272,2,0,0,ok
27,20chol,310.635,-455799,1.24856,3.26487,4.23565,3.26487,3.56164,2,0,0,ok
27,40chol,310.293,-446503,1.59945,3.69044,3.9615,3.98659,3.69044,2,0,0,ok
28,20chol,310.855,-455975,1.35469,3.35712,3.8555,3.35712,3.49581,2,0,0,ok
28,40chol,309.994,-446263,1.48779,3.56152,4.60104,3.69857,3.56152,2,0,0,ok
29,20chol,310.179,-456541,1.62054,3.53062,3.97802,3.88576,3.53062,2,0,0,ok
29,40chol,308.646,-446257,1.60172,3.69632,4.23852,3.78793,3.69632,2,0,0,ok
30,20chol,311.458,-455499,1.24026,3.15816,4.11758,3.91453,3.15816,2,0,0,ok
30,40chol,309.496,-446950,1.74964,3.82172,4.09762,4.15572,3.82172,2,0,0,ok
31,20chol,310.03,-454269,1.71245,3.57129,3.99831,3.57129,3.70074,2,0,0,ok
31,40chol,311.424,-446798,1.40165,3.2567,3.87601,3.66839,3.2567,2,0,0,ok
32,20chol,311.601,-454601,1.68819,3.54171,4.08393,3.54171,3.68859,2,0,0,ok
32,40chol,309.556,-446092,1.07313,3.45182,3.45182,3.88333,3.74218,2,0,0,ok
33,20chol,309.319,-455948,2.17327,3.68506,4.07521,3.68506,3.71779,2,0,0,ok
33,40chol,308.764,-445152,1.24388,3.44565,4.02217,4.05387,3.44565,2,0,0,ok
34,20chol,309.589,-455908,1.6921,3.68581,3.68581,3.98102,3.9029,2,0,0,ok
34,40chol,309.829,-446458,0.949198,3.64438,3.98964,3.64438,3.73728,2,0,0,ok
35,20chol,310.902,-455304,1.7398,3.5754,4.0031,3.97982,3.5754,2,0,0,ok
35,40chol,309.129,-447093,1.15592,3.60374,3.90775,3.9555,3.60374,2,0,0,ok
36,20chol,311.322,-456702,1.38563,3.83719,4.15508,3.92167,3.83719,2,0,0,ok
36,40chol,309.775,-448005,1.08159,3.66635,3.8877,4.03973,3.66635,2,0,0,ok
37,20chol,309.699,-454549,2.10528,3.62899,3.95818,4.06938,3.62899,2,0,0,ok
37,40chol,308.741,-447098,0.955116,3.7456,3.7456,3.87546,3.74627,2,0,0,ok
38,20chol,310.154,-456219,2.18391,3.69526,3.92489,3.99421,3.69526,2,0,0,ok
38,40chol,311.951,-447249,0.965396,3.72997,3.93986,3.97933,3.72997,2,0,0,ok
39,20chol,309.189,-454300,1.9788,3.0656,3.4829,4.66209,3.0656,2,0,0,ok
